|dates|Shelby_Ohio_UnitedStates.JHU_ConfirmedCases.data|Shelby_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Ohio_UnitedStates.NYT_ConfirmedCases.data|Shelby_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Shelby_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6401.0|0|6401.0|0|124.0|0|0.0|100
0|2021-10-18|6410.0|0|6410.0|0|124.0|0|0.0|100
0|2021-10-19|6431.0|0|6431.0|0|124.0|0|0.0|100
0|2021-10-20|6460.0|0|6460.0|0|124.0|0|0.0|100
0|2021-10-21|6493.0|0|6493.0|0|125.0|0|0.0|100
0|2021-10-22|6516.0|0|6516.0|0|125.0|0|0.0|100
0|2021-10-23|6530.0|0|6530.0|0|125.0|0|0.0|100
0|2021-10-24|6533.0|0|6533.0|0|125.0|0|0.0|100
0|2021-10-25|6540.0|0|6540.0|0|127.0|0|0.0|100
0|2021-10-26|6563.0|0|6563.0|0|128.0|0|0.0|100
0|2021-10-27|6585.0|0|6585.0|0|128.0|0|0.0|100
0|2021-10-28|6603.0|0|6603.0|0|128.0|0|0.0|100
0|2021-10-29|6629.0|0|6629.0|0|128.0|0|0.0|100
0|2021-10-30|6643.0|0|6643.0|0|128.0|0|0.0|100
0|2021-10-31|6657.0|0|6657.0|0|128.0|0|0.0|100
0|2021-11-01|6674.0|0|6674.0|0|128.0|0|0.0|100
0|2021-11-02|6698.0|0|6698.0|0|128.0|0|0.0|100
0|2021-11-03|6725.0|0|6725.0|0|128.0|0|0.0|100
0|2021-11-04|6743.0|0|6743.0|0|128.0|0|0.0|100
0|2021-11-05|6773.0|0|6773.0|0|128.0|0|0.0|100
0|2021-11-06|6801.0|0|6801.0|0|128.0|0|0.0|100
0|2021-11-07|6815.0|0|6815.0|0|128.0|0|0.0|100
0|2021-11-08|6840.0|0|6840.0|0|128.0|0|0.0|100
