|dates|NezPerce_Idaho_UnitedStates.JHU_ConfirmedCases.data|NezPerce_Idaho_UnitedStates.JHU_ConfirmedCases.missing|NezPerce_Idaho_UnitedStates.NYT_ConfirmedCases.data|NezPerce_Idaho_UnitedStates.NYT_ConfirmedCases.missing|NezPerce_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|NezPerce_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|NezPerce_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|NezPerce_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5947.0|0|5947.0|0|91.0|0|0.0|100
0|2021-10-18|5972.0|0|5972.0|0|91.0|0|0.0|100
0|2021-10-19|5983.0|0|5983.0|0|91.0|0|0.0|100
0|2021-10-20|6001.0|0|6007.0|0|92.0|0|0.0|100
0|2021-10-21|6028.0|0|6028.0|0|93.0|0|0.0|100
0|2021-10-22|6041.0|0|6043.0|0|93.0|0|0.0|100
0|2021-10-23|6041.0|0|6043.0|0|93.0|0|0.0|100
0|2021-10-24|6041.0|0|6043.0|0|93.0|0|0.0|100
0|2021-10-25|6076.0|0|6076.0|0|94.0|0|0.0|100
0|2021-10-26|6094.0|0|6096.0|0|94.0|0|0.0|100
0|2021-10-27|6108.0|0|6110.0|0|95.0|0|0.0|100
0|2021-10-28|6119.0|0|6121.0|0|95.0|0|0.0|100
0|2021-10-29|6133.0|0|6135.0|0|97.0|0|0.0|100
0|2021-10-30|6133.0|0|6135.0|0|97.0|0|0.0|100
0|2021-10-31|6133.0|0|6135.0|0|97.0|0|0.0|100
0|2021-11-01|6160.0|0|6162.0|0|97.0|0|0.0|100
0|2021-11-02|6168.0|0|6170.0|0|97.0|0|0.0|100
0|2021-11-03|6182.0|0|6184.0|0|97.0|0|0.0|100
0|2021-11-04|6195.0|0|6198.0|0|98.0|0|0.0|100
0|2021-11-05|6202.0|0|6204.0|0|98.0|0|0.0|100
0|2021-11-06|6202.0|0|6204.0|0|98.0|0|0.0|100
0|2021-11-07|6202.0|0|6204.0|0|98.0|0|0.0|100
0|2021-11-08|6224.0|0|6226.0|0|99.0|0|0.0|100
0|2021-11-09|6232.0|0|6233.0|0|99.0|0|0.0|100
0|2021-11-10|6232.0|0|6246.0|0|99.0|0|0.0|100
0|2021-11-11|6245.0|0|6246.0|0|100.0|0|0.0|100
0|2021-11-12|6271.0|0|6273.0|0|101.0|0|0.0|100
0|2021-11-13|6271.0|0|6273.0|0|101.0|0|0.0|100
0|2021-11-14|6271.0|0|6273.0|0|101.0|0|0.0|100
0|2021-11-15|6288.0|0|6290.0|0|101.0|0|0.0|100
0|2021-11-16|6293.0|0|6295.0|0|101.0|0|0.0|100
0|2021-11-17|6295.0|0|6297.0|0|102.0|0|0.0|100
0|2021-11-18|6303.0|0|6306.0|0|102.0|0|0.0|100
0|2021-11-19|6312.0|0|6315.0|0|102.0|0|0.0|100
0|2021-11-20|6312.0|0|6315.0|0|102.0|0|0.0|100
