|dates|McCone_Montana_UnitedStates.AveragePrecipitationTotal.data|McCone_Montana_UnitedStates.AveragePrecipitationTotal.missing|McCone_Montana_UnitedStates.AveragePrecipitation.data|McCone_Montana_UnitedStates.AveragePrecipitation.missing|McCone_Montana_UnitedStates.AverageWindDirection.data|McCone_Montana_UnitedStates.AverageWindDirection.missing|McCone_Montana_UnitedStates.AverageWindSpeed.data|McCone_Montana_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|180.0|0|10.291666666666666|0
0|2021-10-18|0.0|0|0.0|0|216.66666666666666|0|8.75|0
0|2021-10-19|0.0|0|0.0|0|77.43055555555556|0|13.368055555555555|0
0|2021-10-20|0.0|0|0.0|0|63.05555555555555|0|4.638888888888889|0
0|2021-10-21|0.0|0|0.0|0|160.41666666666666|0|4.041666666666667|0
0|2021-10-22|0.0|0|0.0|0|97.08333333333333|0|6.333333333333333|0
0|2021-10-23|0.0|0|0.0|0|108.95833333333333|0|9.930555555555555|0
0|2021-10-24|0.0|0|0.0|0|75.88194444444444|0|6.349999999999999|0
0|2021-10-25|0.0|0|0.0|0|115.90277777777779|0|12.590277777777777|0
0|2021-10-26|0.0|0|0.0008333333333333334|0|257.7083333333333|0|9.020833333333334|0
0|2021-10-27|0.0008333333333333334|0|0.0|0|250.625|0|15.0625|0
0|2021-10-28|0.0|0|0.0|0|272.5|0|15.291666666666666|0
0|2021-10-29|0.0|0|0.0|0|206.25|0|12.958333333333334|0
0|2021-10-30|0.0|0|0.0|0|323.125|0|14.354166666666666|0
0|2021-10-31|0.0|0|0.0|0|300.8333333333333|0|9.791666666666666|0
0|2021-11-01|0.0|0|0.0|0|200.41666666666666|0|6.583333333333333|0
0|2021-11-02|0.0|0|0.0|0|97.08333333333333|0|3.4166666666666665|0
0|2021-11-03|0.0|0|0.0|0|212.5|0|6.875|0
0|2021-11-04|0.0|0|0.0|0|185.83333333333334|0|10.333333333333334|0
0|2021-11-05|0.0|0|0.0004166666666666667|0|258.3333333333333|0|13.916666666666666|0
0|2021-11-06|0.0004166666666666667|0|0.0|0|210.41666666666666|0|6.666666666666667|0
0|2021-11-07|0.0|0|0.0|0|251.875|0|7.791666666666667|0
0|2021-11-08|0.0|0|0.0|0|179.16666666666666|0|7.208333333333333|0
0|2021-11-09|0.0|0|0.0|0|140.41666666666666|0|5.916666666666667|0
0|2021-11-10|0.0004166666666666667|0|0.0004166666666666667|0|294.1666666666667|0|19.916666666666668|0
0|2021-11-11|0.0|0|0.0|0|321.6666666666667|0|27.541666666666668|0
0|2021-11-12|0.0|0|0.0|0|241.18055555555554|0|10.347222222222221|0
0|2021-11-13|0.0008333333333333334|0|0.0029166666666666664|0|275.0|0|18.166666666666668|0
