|dates|Lincoln_Idaho_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Idaho_UnitedStates.NYT_ConfirmedCases.data|Lincoln_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|660.0|0|660.0|0|12.0|0|0.0|100
0|2021-10-18|663.0|0|663.0|0|12.0|0|0.0|100
0|2021-10-19|665.0|0|665.0|0|12.0|0|0.0|100
0|2021-10-20|666.0|0|666.0|0|12.0|0|0.0|100
0|2021-10-21|670.0|0|670.0|0|12.0|0|0.0|100
0|2021-10-22|671.0|0|671.0|0|12.0|0|0.0|100
0|2021-10-23|672.0|0|672.0|0|12.0|0|0.0|100
0|2021-10-24|673.0|0|673.0|0|12.0|0|0.0|100
0|2021-10-25|673.0|0|673.0|0|12.0|0|0.0|100
0|2021-10-26|678.0|0|678.0|0|12.0|0|0.0|100
0|2021-10-27|682.0|0|682.0|0|12.0|0|0.0|100
0|2021-10-28|682.0|0|682.0|0|12.0|0|0.0|100
0|2021-10-29|683.0|0|683.0|0|12.0|0|0.0|100
0|2021-10-30|686.0|0|686.0|0|12.0|0|0.0|100
0|2021-10-31|686.0|0|686.0|0|12.0|0|0.0|100
0|2021-11-01|689.0|0|689.0|0|12.0|0|0.0|100
0|2021-11-02|691.0|0|691.0|0|12.0|0|0.0|100
0|2021-11-03|693.0|0|693.0|0|12.0|0|0.0|100
0|2021-11-04|695.0|0|695.0|0|12.0|0|0.0|100
0|2021-11-05|695.0|0|695.0|0|12.0|0|0.0|100
0|2021-11-06|697.0|0|697.0|0|12.0|0|0.0|100
0|2021-11-07|697.0|0|697.0|0|12.0|0|0.0|100
0|2021-11-08|697.0|0|697.0|0|12.0|0|0.0|100
0|2021-11-09|697.0|0|697.0|0|12.0|0|0.0|100
0|2021-11-10|697.0|0|699.0|0|12.0|0|0.0|100
0|2021-11-11|699.0|0|699.0|0|12.0|0|0.0|100
0|2021-11-12|702.0|0|699.0|0|12.0|0|0.0|100
0|2021-11-13|702.0|0|702.0|0|12.0|0|0.0|100
0|2021-11-14|702.0|0|702.0|0|12.0|0|0.0|100
0|2021-11-15|702.0|0|702.0|0|12.0|0|0.0|100
0|2021-11-16|704.0|0|704.0|0|12.0|0|0.0|100
0|2021-11-17|711.0|0|711.0|0|12.0|0|0.0|100
0|2021-11-18|711.0|0|711.0|0|13.0|0|0.0|100
0|2021-11-19|713.0|0|711.0|0|14.0|0|0.0|100
