|dates|Clay_Alabama_UnitedStates.JHU_ConfirmedCases.data|Clay_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Clay_Alabama_UnitedStates.NYT_ConfirmedCases.data|Clay_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Clay_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2407.0|0|2407.0|0|67.0|0|0.0|100
0|2021-10-18|2408.0|0|2408.0|0|67.0|0|0.0|100
0|2021-10-19|2411.0|0|2411.0|0|68.0|0|0.0|100
0|2021-10-20|2412.0|0|2412.0|0|68.0|0|0.0|100
0|2021-10-21|2417.0|0|2417.0|0|68.0|0|0.0|100
0|2021-10-22|2430.0|0|2430.0|0|68.0|0|0.0|100
0|2021-10-23|2433.0|0|2433.0|0|68.0|0|0.0|100
0|2021-10-24|2433.0|0|2433.0|0|68.0|0|0.0|100
0|2021-10-25|2433.0|0|2433.0|0|68.0|0|0.0|100
0|2021-10-26|2455.0|0|2455.0|0|68.0|0|0.0|100
0|2021-10-27|2454.0|0|2454.0|0|68.0|0|0.0|100
0|2021-10-28|2458.0|0|2458.0|0|68.0|0|0.0|100
0|2021-10-29|2458.0|0|2458.0|0|68.0|0|0.0|100
0|2021-10-30|2465.0|0|2465.0|0|68.0|0|0.0|100
0|2021-10-31|2468.0|0|2468.0|0|68.0|0|0.0|100
0|2021-11-01|2468.0|0|2468.0|0|68.0|0|0.0|100
0|2021-11-02|2473.0|0|2473.0|0|69.0|0|0.0|100
0|2021-11-03|2472.0|0|2472.0|0|69.0|0|0.0|100
0|2021-11-04|2473.0|0|2473.0|0|69.0|0|0.0|100
0|2021-11-05|2476.0|0|2476.0|0|69.0|0|0.0|100
0|2021-11-06|2479.0|0|2479.0|0|70.0|0|0.0|100
0|2021-11-07|2480.0|0|2480.0|0|70.0|0|0.0|100
0|2021-11-08|2480.0|0|2480.0|0|70.0|0|0.0|100
0|2021-11-09|2484.0|0|2484.0|0|70.0|0|0.0|100
