|dates|Fresno_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Fresno_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Fresno_California_UnitedStates.Male_Total_Population.data|Fresno_California_UnitedStates.Male_Total_Population.missing|Fresno_California_UnitedStates.Female_Total_Population.data|Fresno_California_UnitedStates.Female_Total_Population.missing|Fresno_California_UnitedStates.MaleAndFemale_Under18_Population.data|Fresno_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-18|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-19|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-20|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-21|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-22|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-23|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-24|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-25|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-26|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-27|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-28|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-29|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-30|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-10-31|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-01|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-02|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-03|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-04|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-05|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-06|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-07|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-08|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-09|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-10|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-11|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-12|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-13|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-14|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-15|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-16|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-17|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-18|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-19|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-20|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-21|122113.0|0|496016.0|0|498384.0|0|281819.0|0
0|2021-11-22|122113.0|0|496016.0|0|498384.0|0|281819.0|0
