|dates|Osceola_Michigan_UnitedStates.JHU_ConfirmedCases.data|Osceola_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Osceola_Michigan_UnitedStates.NYT_ConfirmedCases.data|Osceola_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Osceola_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Osceola_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Osceola_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Osceola_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2836.0|0|2836.0|0|34.0|0|0.0|100
0|2021-10-18|2901.0|0|2901.0|0|34.0|0|0.0|100
0|2021-10-19|2901.0|0|2901.0|0|34.0|0|0.0|100
0|2021-10-20|2941.0|0|2941.0|0|38.0|0|0.0|100
0|2021-10-21|2941.0|0|2941.0|0|38.0|0|0.0|100
0|2021-10-22|2989.0|0|2989.0|0|40.0|0|0.0|100
0|2021-10-23|2989.0|0|2989.0|0|40.0|0|0.0|100
0|2021-10-24|2989.0|0|2989.0|0|40.0|0|0.0|100
0|2021-10-25|3044.0|0|3044.0|0|41.0|0|0.0|100
0|2021-10-26|3044.0|0|3044.0|0|41.0|0|0.0|100
0|2021-10-27|3076.0|0|3076.0|0|41.0|0|0.0|100
0|2021-10-28|3076.0|0|3076.0|0|41.0|0|0.0|100
0|2021-10-29|3114.0|0|3114.0|0|41.0|0|0.0|100
0|2021-10-30|3114.0|0|3114.0|0|41.0|0|0.0|100
0|2021-10-31|3114.0|0|3114.0|0|41.0|0|0.0|100
0|2021-11-01|3138.0|0|3138.0|0|41.0|0|0.0|100
0|2021-11-02|3138.0|0|3138.0|0|41.0|0|0.0|100
0|2021-11-03|3168.0|0|3168.0|0|41.0|0|0.0|100
0|2021-11-04|3168.0|0|3168.0|0|41.0|0|0.0|100
0|2021-11-05|3201.0|0|3201.0|0|41.0|0|0.0|100
0|2021-11-06|3201.0|0|3201.0|0|41.0|0|0.0|100
0|2021-11-07|3201.0|0|3201.0|0|41.0|0|0.0|100
0|2021-11-08|3221.0|0|3221.0|0|43.0|0|0.0|100
0|2021-11-09|3221.0|0|3221.0|0|43.0|0|0.0|100
0|2021-11-10|3235.0|0|3235.0|0|44.0|0|0.0|100
0|2021-11-11|3235.0|0|3235.0|0|44.0|0|0.0|100
0|2021-11-12|3284.0|0|3284.0|0|47.0|0|0.0|100
0|2021-11-13|3284.0|0|3284.0|0|47.0|0|0.0|100
0|2021-11-14|3284.0|0|3284.0|0|47.0|0|0.0|100
0|2021-11-15|3347.0|0|3347.0|0|47.0|0|0.0|100
0|2021-11-16|3347.0|0|3347.0|0|47.0|0|0.0|100
0|2021-11-17|3385.0|0|3385.0|0|47.0|0|0.0|100
0|2021-11-18|3385.0|0|3385.0|0|47.0|0|0.0|100
0|2021-11-19|3429.0|0|3429.0|0|47.0|0|0.0|100
