|dates|Attala_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Attala_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Attala_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Attala_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Attala_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3302.0|0|3302.0|0|89.0|0|0.0|100
0|2021-10-18|3305.0|0|3305.0|0|89.0|0|0.0|100
0|2021-10-19|3307.0|0|3307.0|0|89.0|0|0.0|100
0|2021-10-20|3310.0|0|3310.0|0|89.0|0|0.0|100
0|2021-10-21|3314.0|0|3314.0|0|89.0|0|0.0|100
0|2021-10-22|3315.0|0|3315.0|0|89.0|0|0.0|100
0|2021-10-23|3315.0|0|3315.0|0|89.0|0|0.0|100
0|2021-10-24|3315.0|0|3315.0|0|89.0|0|0.0|100
0|2021-10-25|3317.0|0|3317.0|0|89.0|0|0.0|100
0|2021-10-26|3352.0|0|3352.0|0|90.0|0|0.0|100
0|2021-10-27|3352.0|0|3352.0|0|90.0|0|0.0|100
0|2021-10-28|3352.0|0|3352.0|0|90.0|0|0.0|100
0|2021-10-29|3352.0|0|3352.0|0|90.0|0|0.0|100
0|2021-10-30|3352.0|0|3352.0|0|90.0|0|0.0|100
0|2021-10-31|3352.0|0|3352.0|0|90.0|0|0.0|100
0|2021-11-01|3353.0|0|3353.0|0|90.0|0|0.0|100
0|2021-11-02|3353.0|0|3353.0|0|90.0|0|0.0|100
0|2021-11-03|3354.0|0|3354.0|0|90.0|0|0.0|100
0|2021-11-04|3354.0|0|3354.0|0|90.0|0|0.0|100
0|2021-11-05|3355.0|0|3355.0|0|90.0|0|0.0|100
0|2021-11-06|3355.0|0|3355.0|0|90.0|0|0.0|100
0|2021-11-07|3355.0|0|3355.0|0|90.0|0|0.0|100
0|2021-11-08|3356.0|0|3356.0|0|90.0|0|0.0|100
0|2021-11-09|3355.0|0|3355.0|0|90.0|0|0.0|100
0|2021-11-10|3355.0|0|3358.0|0|90.0|0|0.0|100
0|2021-11-11|3358.0|0|3358.0|0|90.0|0|0.0|100
0|2021-11-12|3362.0|0|3362.0|0|90.0|0|0.0|100
0|2021-11-13|3362.0|0|3362.0|0|90.0|0|0.0|100
0|2021-11-14|3362.0|0|3362.0|0|90.0|0|0.0|100
0|2021-11-15|3363.0|0|3363.0|0|90.0|0|0.0|100
0|2021-11-16|3364.0|0|3364.0|0|90.0|0|0.0|100
