|dates|Kent_Delaware_UnitedStates.JHU_ConfirmedCases.data|Kent_Delaware_UnitedStates.JHU_ConfirmedCases.missing|Kent_Delaware_UnitedStates.NYT_ConfirmedCases.data|Kent_Delaware_UnitedStates.NYT_ConfirmedCases.missing|Kent_Delaware_UnitedStates.JHU_ConfirmedDeaths.data|Kent_Delaware_UnitedStates.JHU_ConfirmedDeaths.missing|Kent_Delaware_UnitedStates.JHU_ConfirmedRecoveries.data|Kent_Delaware_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|25208.0|0|25208.0|0|430.0|0|0.0|100
0|2021-10-18|25325.0|0|25325.0|0|430.0|0|0.0|100
0|2021-10-19|25365.0|0|25365.0|0|430.0|0|0.0|100
0|2021-10-20|25411.0|0|25411.0|0|431.0|0|0.0|100
0|2021-10-21|25524.0|0|25524.0|0|434.0|0|0.0|100
0|2021-10-22|25624.0|0|25624.0|0|434.0|0|0.0|100
0|2021-10-23|25698.0|0|25698.0|0|440.0|0|0.0|100
0|2021-10-24|25766.0|0|25766.0|0|440.0|0|0.0|100
0|2021-10-25|25802.0|0|25802.0|0|440.0|0|0.0|100
0|2021-10-26|25829.0|0|25829.0|0|440.0|0|0.0|100
0|2021-10-27|25897.0|0|25897.0|0|441.0|0|0.0|100
0|2021-10-28|25977.0|0|25977.0|0|444.0|0|0.0|100
0|2021-10-29|26056.0|0|26056.0|0|445.0|0|0.0|100
0|2021-10-30|26143.0|0|26143.0|0|445.0|0|0.0|100
0|2021-10-31|26199.0|0|26199.0|0|445.0|0|0.0|100
0|2021-11-01|26234.0|0|26234.0|0|445.0|0|0.0|100
0|2021-11-02|26252.0|0|26252.0|0|445.0|0|0.0|100
0|2021-11-03|26319.0|0|26319.0|0|445.0|0|0.0|100
0|2021-11-04|26373.0|0|26373.0|0|448.0|0|0.0|100
0|2021-11-05|26440.0|0|26373.0|0|452.0|0|0.0|100
0|2021-11-06|26502.0|0|26502.0|0|452.0|0|0.0|100
0|2021-11-07|26575.0|0|26575.0|0|452.0|0|0.0|100
0|2021-11-08|26622.0|0|26622.0|0|452.0|0|0.0|100
0|2021-11-09|26630.0|0|26630.0|0|454.0|0|0.0|100
0|2021-11-10|26630.0|0|26715.0|0|454.0|0|0.0|100
0|2021-11-11|26786.0|0|26786.0|0|454.0|0|0.0|100
0|2021-11-12|26885.0|0|26885.0|0|454.0|0|0.0|100
0|2021-11-13|26939.0|0|26939.0|0|460.0|0|0.0|100
0|2021-11-14|27031.0|0|27031.0|0|460.0|0|0.0|100
0|2021-11-15|27051.0|0|27051.0|0|460.0|0|0.0|100
0|2021-11-16|27047.0|0|27047.0|0|460.0|0|0.0|100
0|2021-11-17|27083.0|0|27083.0|0|460.0|0|0.0|100
0|2021-11-18|27109.0|0|27109.0|0|463.0|0|0.0|100
0|2021-11-19|27135.0|0|27135.0|0|463.0|0|0.0|100
0|2021-11-20|27437.0|0|27437.0|0|465.0|0|0.0|100
0|2021-11-21|27536.0|0|27536.0|0|465.0|0|0.0|100
0|2021-11-22|27584.0|0|27584.0|0|465.0|0|0.0|100
0|2021-11-23|27633.0|0|27633.0|0|465.0|0|0.0|100
0|2021-11-24|27706.0|0|27706.0|0|467.0|0|0.0|100
0|2021-11-25|27839.0|0|27839.0|0|469.0|0|0.0|100
0|2021-11-26|27948.0|0|27948.0|0|469.0|0|0.0|100
0|2021-11-27|27993.0|0|27993.0|0|469.0|0|0.0|100
0|2021-11-28|28070.0|0|28070.0|0|469.0|0|0.0|100
0|2021-11-29|28124.0|0|28124.0|0|469.0|0|0.0|100
0|2021-11-30|28171.0|0|28171.0|0|469.0|0|0.0|100
0|2021-12-01|28307.0|0|28307.0|0|469.0|0|0.0|100
0|2021-12-02|28307.0|0|28469.0|0|469.0|0|0.0|100
