|dates|Steuben_Indiana_UnitedStates.BLS_EmployedPopulation.data|Steuben_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Steuben_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Steuben_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Steuben_Indiana_UnitedStates.BLS_UnemploymentRate.data|Steuben_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Steuben_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Steuben_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-18|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-19|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-20|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-21|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-22|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-23|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-24|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-25|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-26|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-27|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-28|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-29|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-30|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-10-31|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-01|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-02|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-03|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-04|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-05|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-06|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-07|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-08|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-09|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-10|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-11|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-12|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-13|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-14|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-15|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-16|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-17|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-18|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-19|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-20|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-21|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-22|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-23|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-24|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-25|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-26|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-27|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-28|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-29|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-11-30|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-01|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-02|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-03|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-04|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-05|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-06|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-07|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
0|2021-12-08|20072.0|0|650.0|0|3.136762860727729|0|20722.0|0
