|dates|Moffat_Colorado_UnitedStates.JHU_ConfirmedCases.data|Moffat_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Moffat_Colorado_UnitedStates.NYT_ConfirmedCases.data|Moffat_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Moffat_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Moffat_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Moffat_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Moffat_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1905.0|0|1905.0|0|39.0|0|0.0|100
0|2021-10-18|1912.0|0|1912.0|0|40.0|0|0.0|100
0|2021-10-19|1916.0|0|1916.0|0|40.0|0|0.0|100
0|2021-10-20|1923.0|0|1923.0|0|40.0|0|0.0|100
0|2021-10-21|1931.0|0|1931.0|0|40.0|0|0.0|100
0|2021-10-22|1948.0|0|1948.0|0|40.0|0|0.0|100
0|2021-10-23|1948.0|0|1948.0|0|40.0|0|0.0|100
0|2021-10-24|1948.0|0|1948.0|0|40.0|0|0.0|100
0|2021-10-25|1962.0|0|1962.0|0|42.0|0|0.0|100
0|2021-10-26|1967.0|0|1967.0|0|42.0|0|0.0|100
0|2021-10-27|1974.0|0|1974.0|0|42.0|0|0.0|100
0|2021-10-28|1980.0|0|1980.0|0|44.0|0|0.0|100
0|2021-10-29|1984.0|0|1984.0|0|44.0|0|0.0|100
0|2021-10-30|1984.0|0|1984.0|0|44.0|0|0.0|100
0|2021-10-31|1984.0|0|1984.0|0|44.0|0|0.0|100
0|2021-11-01|1998.0|0|1998.0|0|44.0|0|0.0|100
0|2021-11-02|2002.0|0|2002.0|0|44.0|0|0.0|100
0|2021-11-03|2010.0|0|2010.0|0|44.0|0|0.0|100
0|2021-11-04|2016.0|0|2016.0|0|44.0|0|0.0|100
0|2021-11-05|2020.0|0|2020.0|0|44.0|0|0.0|100
0|2021-11-06|2020.0|0|2020.0|0|44.0|0|0.0|100
0|2021-11-07|2020.0|0|2020.0|0|44.0|0|0.0|100
0|2021-11-08|2046.0|0|2046.0|0|45.0|0|0.0|100
0|2021-11-09|2053.0|0|2053.0|0|45.0|0|0.0|100
0|2021-11-10|2059.0|0|2059.0|0|45.0|0|0.0|100
0|2021-11-11|2077.0|0|2077.0|0|45.0|0|0.0|100
0|2021-11-12|2083.0|0|2083.0|0|46.0|0|0.0|100
0|2021-11-13|2083.0|0|2083.0|0|46.0|0|0.0|100
0|2021-11-14|2083.0|0|2083.0|0|46.0|0|0.0|100
0|2021-11-15|2097.0|0|2097.0|0|46.0|0|0.0|100
0|2021-11-16|2098.0|0|2098.0|0|46.0|0|0.0|100
0|2021-11-17|2102.0|0|2102.0|0|46.0|0|0.0|100
0|2021-11-18|2115.0|0|2115.0|0|47.0|0|0.0|100
0|2021-11-19|2119.0|0|2119.0|0|47.0|0|0.0|100
0|2021-11-20|2119.0|0|2119.0|0|47.0|0|0.0|100
0|2021-11-21|2119.0|0|2119.0|0|47.0|0|0.0|100
0|2021-11-22|2133.0|0|2133.0|0|47.0|0|0.0|100
0|2021-11-23|2140.0|0|2140.0|0|47.0|0|0.0|100
0|2021-11-24|2147.0|0|2147.0|0|47.0|0|0.0|100
0|2021-11-25|2155.0|0|2155.0|0|47.0|0|0.0|100
0|2021-11-26|2157.0|0|2155.0|0|47.0|0|0.0|100
0|2021-11-27|2157.0|0|2155.0|0|47.0|0|0.0|100
0|2021-11-28|2157.0|0|2157.0|0|47.0|0|0.0|100
0|2021-11-29|2158.0|0|2158.0|0|47.0|0|0.0|100
0|2021-11-30|2167.0|0|2167.0|0|47.0|0|0.0|100
0|2021-12-01|2175.0|0|2175.0|0|47.0|0|0.0|100
0|2021-12-02|2176.0|0|2176.0|0|47.0|0|0.0|100
0|2021-12-03|2179.0|0|2178.0|0|47.0|0|0.0|100
0|2021-12-04|2179.0|0|2179.0|0|47.0|0|0.0|100
0|2021-12-05|2179.0|0|2179.0|0|47.0|0|0.0|100
0|2021-12-06|2186.0|0|2186.0|0|48.0|0|0.0|100
0|2021-12-07|2196.0|0|2196.0|0|48.0|0|0.0|100
0|2021-12-08|2200.0|0|2200.0|0|47.0|0|0.0|100
0|2021-12-09|2205.0|0|2205.0|0|47.0|0|0.0|100
0|2021-12-10|2210.0|0|2210.0|0|47.0|0|0.0|100
0|2021-12-11|2210.0|0|2210.0|0|47.0|0|0.0|100
0|2021-12-12|2210.0|0|2210.0|0|47.0|0|0.0|100
0|2021-12-13|2218.0|0|2218.0|0|47.0|0|0.0|100
0|2021-12-14|2218.0|0|2225.0|0|47.0|0|0.0|100
