|dates|McKean_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|McKean_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|McKean_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|McKean_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|McKean_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|McKean_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|McKean_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|McKean_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4917.0|0|4917.0|0|82.0|0|0.0|100
0|2021-10-18|4933.0|0|4933.0|0|83.0|0|0.0|100
0|2021-10-19|4954.0|0|4954.0|0|85.0|0|0.0|100
0|2021-10-20|4976.0|0|4976.0|0|85.0|0|0.0|100
0|2021-10-21|4997.0|0|4997.0|0|85.0|0|0.0|100
0|2021-10-22|5021.0|0|5021.0|0|85.0|0|0.0|100
0|2021-10-23|5042.0|0|5042.0|0|86.0|0|0.0|100
0|2021-10-24|5071.0|0|5071.0|0|87.0|0|0.0|100
0|2021-10-25|5079.0|0|5079.0|0|87.0|0|0.0|100
0|2021-10-26|5103.0|0|5103.0|0|89.0|0|0.0|100
0|2021-10-27|5120.0|0|5120.0|0|89.0|0|0.0|100
0|2021-10-28|5142.0|0|5142.0|0|89.0|0|0.0|100
0|2021-10-29|5173.0|0|5173.0|0|89.0|0|0.0|100
0|2021-10-30|5192.0|0|5192.0|0|90.0|0|0.0|100
0|2021-10-31|5197.0|0|5197.0|0|91.0|0|0.0|100
0|2021-11-01|5197.0|0|5197.0|0|91.0|0|0.0|100
0|2021-11-02|5230.0|0|5230.0|0|91.0|0|0.0|100
0|2021-11-03|5252.0|0|5252.0|0|94.0|0|0.0|100
0|2021-11-04|5269.0|0|5269.0|0|94.0|0|0.0|100
0|2021-11-05|5297.0|0|5297.0|0|95.0|0|0.0|100
0|2021-11-06|5323.0|0|5323.0|0|95.0|0|0.0|100
0|2021-11-07|5339.0|0|5339.0|0|95.0|0|0.0|100
0|2021-11-08|5355.0|0|5355.0|0|95.0|0|0.0|100
0|2021-11-09|5365.0|0|5365.0|0|96.0|0|0.0|100
0|2021-11-10|5365.0|0|5388.0|0|96.0|0|0.0|100
0|2021-11-11|5407.0|0|5407.0|0|97.0|0|0.0|100
0|2021-11-12|5434.0|0|5434.0|0|97.0|0|0.0|100
0|2021-11-13|5517.0|0|5517.0|0|97.0|0|0.0|100
0|2021-11-14|5532.0|0|5532.0|0|97.0|0|0.0|100
0|2021-11-15|5549.0|0|5549.0|0|97.0|0|0.0|100
0|2021-11-16|5575.0|0|5575.0|0|97.0|0|0.0|100
0|2021-11-17|5596.0|0|5596.0|0|97.0|0|0.0|100
0|2021-11-18|5617.0|0|5617.0|0|99.0|0|0.0|100
0|2021-11-19|5649.0|0|5649.0|0|100.0|0|0.0|100
0|2021-11-20|5673.0|0|5673.0|0|100.0|0|0.0|100
0|2021-11-21|5687.0|0|5687.0|0|100.0|0|0.0|100
0|2021-11-22|5702.0|0|5702.0|0|100.0|0|0.0|100
0|2021-11-23|5726.0|0|5726.0|0|101.0|0|0.0|100
0|2021-11-24|5746.0|0|5746.0|0|102.0|0|0.0|100
0|2021-11-25|5760.0|0|5760.0|0|103.0|0|0.0|100
0|2021-11-26|5782.0|0|5782.0|0|103.0|0|0.0|100
0|2021-11-27|5806.0|0|5806.0|0|103.0|0|0.0|100
0|2021-11-28|5808.0|0|5808.0|0|104.0|0|0.0|100
0|2021-11-29|5811.0|0|5811.0|0|104.0|0|0.0|100
0|2021-11-30|5831.0|0|5831.0|0|106.0|0|0.0|100
0|2021-12-01|5873.0|0|5873.0|0|106.0|0|0.0|100
0|2021-12-02|5902.0|0|5902.0|0|106.0|0|0.0|100
0|2021-12-03|5928.0|0|5928.0|0|106.0|0|0.0|100
0|2021-12-04|5928.0|0|5965.0|0|106.0|0|0.0|100
0|2021-12-05|5976.0|0|5976.0|0|106.0|0|0.0|100
0|2021-12-06|5983.0|0|5983.0|0|106.0|0|0.0|100
0|2021-12-07|5994.0|0|5994.0|0|107.0|0|0.0|100
0|2021-12-08|6009.0|0|6009.0|0|107.0|0|0.0|100
0|2021-12-09|6028.0|0|6028.0|0|108.0|0|0.0|100
0|2021-12-10|6047.0|0|6047.0|0|108.0|0|0.0|100
0|2021-12-11|6084.0|0|6084.0|0|108.0|0|0.0|100
0|2021-12-12|6090.0|0|6090.0|0|108.0|0|0.0|100
0|2021-12-13|6102.0|0|6102.0|0|108.0|0|0.0|100
0|2021-12-14|6102.0|0|6120.0|0|108.0|0|0.0|100
0|2021-12-15|6129.0|0|6129.0|0|111.0|0|0.0|100
0|2021-12-16|6142.0|0|6142.0|0|111.0|0|0.0|100
0|2021-12-17|6165.0|0|6165.0|0|111.0|0|0.0|100
0|2021-12-18|6181.0|0|6181.0|0|111.0|0|0.0|100
0|2021-12-19|6185.0|0|6185.0|0|111.0|0|0.0|100
0|2021-12-20|6190.0|0|6190.0|0|111.0|0|0.0|100
0|2021-12-21|6204.0|0|6204.0|0|112.0|0|0.0|100
0|2021-12-22|6225.0|0|6225.0|0|112.0|0|0.0|100
0|2021-12-23|6233.0|0|6233.0|0|113.0|0|0.0|100
0|2021-12-24|6246.0|0|6246.0|0|113.0|0|0.0|100
0|2021-12-25|6255.0|0|6255.0|0|113.0|0|0.0|100
0|2021-12-26|6257.0|0|6257.0|0|113.0|0|0.0|100
0|2021-12-27|6263.0|0|6263.0|0|113.0|0|0.0|100
0|2021-12-28|6270.0|0|6270.0|0|113.0|0|0.0|100
0|2021-12-29|6283.0|0|6283.0|0|113.0|0|0.0|100
0|2021-12-30|6304.0|0|6304.0|0|113.0|0|0.0|100
0|2021-12-31|6322.0|0|6322.0|0|114.0|0|0.0|100
0|2022-01-01|6340.0|0|6340.0|0|114.0|0|0.0|100
0|2022-01-02|6359.0|0|6359.0|0|114.0|0|0.0|100
0|2022-01-03|6370.0|0|6370.0|0|114.0|0|0.0|100
0|2022-01-04|6403.0|0|6403.0|0|115.0|0|0.0|100
0|2022-01-05|6427.0|0|6427.0|0|115.0|0|0.0|100
0|2022-01-06|6470.0|0|6470.0|0|118.0|0|0.0|100
0|2022-01-07|6498.0|0|6498.0|0|118.0|0|0.0|100
0|2022-01-08|6569.0|0|6569.0|0|118.0|0|0.0|100
0|2022-01-09|6609.0|0|6609.0|0|118.0|0|0.0|100
0|2022-01-10|6662.0|0|6662.0|0|118.0|0|0.0|100
0|2022-01-11|6691.0|0|6691.0|0|119.0|0|0.0|100
