|dates|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Harnett_NorthCarolina_UnitedStates.Male_Total_Population.data|Harnett_NorthCarolina_UnitedStates.Male_Total_Population.missing|Harnett_NorthCarolina_UnitedStates.Female_Total_Population.data|Harnett_NorthCarolina_UnitedStates.Female_Total_Population.missing|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-18|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-19|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-20|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-21|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-22|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-23|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-24|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-25|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-26|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-27|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-28|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-29|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-30|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-10-31|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-01|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-02|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-03|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-04|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-05|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-06|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-07|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-08|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-09|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-10|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-11|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-12|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-13|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-14|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-15|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-16|16723.0|0|66478.0|0|67736.0|0|34902.0|0
