|dates|Brown_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Brown_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Brown_Nebraska_UnitedStates.Male_Total_Population.data|Brown_Nebraska_UnitedStates.Male_Total_Population.missing|Brown_Nebraska_UnitedStates.Female_Total_Population.data|Brown_Nebraska_UnitedStates.Female_Total_Population.missing|Brown_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Brown_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-18|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-19|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-20|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-21|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-22|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-23|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-24|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-25|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-26|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-27|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-28|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-29|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-30|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-10-31|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-01|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-02|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-03|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-04|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-05|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-06|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-07|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-08|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-09|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-10|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-11|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-12|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-13|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-14|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-15|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-16|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-17|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-18|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-19|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-20|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-21|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-22|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-23|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-24|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-25|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-26|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-27|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-28|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-29|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-11-30|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-01|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-02|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-03|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-04|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-05|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-06|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-07|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-08|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-09|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-10|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-11|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-12|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-13|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-14|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-15|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-16|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-17|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-18|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-19|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-20|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-21|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-22|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-23|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-24|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-25|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-26|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-27|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-28|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-29|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-30|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2021-12-31|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-01|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-02|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-03|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-04|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-05|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-06|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-07|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-08|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-09|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-10|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-11|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-12|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-13|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-14|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-15|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-16|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2022-01-17|776.0|0|1450.0|0|1523.0|0|633.0|0
