|dates|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedCases.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Charlevoix_Michigan_UnitedStates.NYT_ConfirmedCases.data|Charlevoix_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2376.0|0|2385.0|0|31.0|0|0.0|100
0|2021-10-18|2423.0|0|2432.0|0|31.0|0|0.0|100
0|2021-10-19|2423.0|0|2455.0|0|31.0|0|0.0|100
0|2021-10-20|2465.0|0|2471.0|0|31.0|0|0.0|100
0|2021-10-21|2465.0|0|2498.0|0|31.0|0|0.0|100
0|2021-10-22|2504.0|0|2511.0|0|32.0|0|0.0|100
0|2021-10-23|2504.0|0|2511.0|0|32.0|0|0.0|100
0|2021-10-24|2504.0|0|2511.0|0|32.0|0|0.0|100
0|2021-10-25|2522.0|0|2535.0|0|32.0|0|0.0|100
0|2021-10-26|2522.0|0|2556.0|0|32.0|0|0.0|100
0|2021-10-27|2559.0|0|2572.0|0|33.0|0|0.0|100
0|2021-10-28|2559.0|0|2581.0|0|33.0|0|0.0|100
0|2021-10-29|2576.0|0|2587.0|0|34.0|0|0.0|100
0|2021-10-30|2576.0|0|2587.0|0|34.0|0|0.0|100
0|2021-10-31|2576.0|0|2587.0|0|34.0|0|0.0|100
0|2021-11-01|2613.0|0|2621.0|0|35.0|0|0.0|100
0|2021-11-02|2613.0|0|2630.0|0|35.0|0|0.0|100
0|2021-11-03|2639.0|0|2648.0|0|37.0|0|0.0|100
0|2021-11-04|2639.0|0|2655.0|0|37.0|0|0.0|100
0|2021-11-05|2655.0|0|2663.0|0|38.0|0|0.0|100
0|2021-11-06|2655.0|0|2663.0|0|38.0|0|0.0|100
0|2021-11-07|2655.0|0|2663.0|0|38.0|0|0.0|100
0|2021-11-08|2680.0|0|2691.0|0|38.0|0|0.0|100
0|2021-11-09|2680.0|0|2706.0|0|38.0|0|0.0|100
0|2021-11-10|2680.0|0|2719.0|0|38.0|0|0.0|100
0|2021-11-11|2708.0|0|2733.0|0|38.0|0|0.0|100
0|2021-11-12|2744.0|0|2752.0|0|38.0|0|0.0|100
0|2021-11-13|2744.0|0|2752.0|0|38.0|0|0.0|100
0|2021-11-14|2744.0|0|2752.0|0|38.0|0|0.0|100
0|2021-11-15|2766.0|0|2780.0|0|39.0|0|0.0|100
0|2021-11-16|2766.0|0|2796.0|0|39.0|0|0.0|100
0|2021-11-17|2804.0|0|2821.0|0|41.0|0|0.0|100
0|2021-11-18|2804.0|0|2853.0|0|41.0|0|0.0|100
0|2021-11-19|2873.0|0|2886.0|0|42.0|0|0.0|100
0|2021-11-20|2873.0|0|2886.0|0|42.0|0|0.0|100
0|2021-11-21|2873.0|0|2886.0|0|42.0|0|0.0|100
0|2021-11-22|2920.0|0|2933.0|0|42.0|0|0.0|100
0|2021-11-23|2920.0|0|2953.0|0|42.0|0|0.0|100
0|2021-11-24|2965.0|0|2977.0|0|42.0|0|0.0|100
0|2021-11-25|2965.0|0|2977.0|0|42.0|0|0.0|100
0|2021-11-26|2965.0|0|2977.0|0|42.0|0|0.0|100
0|2021-11-27|2965.0|0|2977.0|0|42.0|0|0.0|100
0|2021-11-28|2965.0|0|2977.0|0|42.0|0|0.0|100
0|2021-11-29|3004.0|0|3027.0|0|42.0|0|0.0|100
0|2021-11-30|3004.0|0|3049.0|0|42.0|0|0.0|100
0|2021-12-01|3048.0|0|3049.0|0|43.0|0|0.0|100
0|2021-12-02|3048.0|0|3090.0|0|43.0|0|0.0|100
0|2021-12-03|3098.0|0|3112.0|0|44.0|0|0.0|100
0|2021-12-04|3098.0|0|3112.0|0|44.0|0|0.0|100
0|2021-12-05|3098.0|0|3112.0|0|44.0|0|0.0|100
0|2021-12-06|3131.0|0|3145.0|0|45.0|0|0.0|100
0|2021-12-07|3131.0|0|3163.0|0|45.0|0|0.0|100
0|2021-12-08|3166.0|0|3180.0|0|45.0|0|0.0|100
0|2021-12-09|3166.0|0|3199.0|0|45.0|0|0.0|100
0|2021-12-10|3195.0|0|3205.0|0|45.0|0|0.0|100
0|2021-12-11|3195.0|0|3205.0|0|45.0|0|0.0|100
0|2021-12-12|3195.0|0|3205.0|0|45.0|0|0.0|100
0|2021-12-13|3233.0|0|3248.0|0|47.0|0|0.0|100
0|2021-12-14|3233.0|0|3273.0|0|47.0|0|0.0|100
0|2021-12-15|3281.0|0|3297.0|0|49.0|0|0.0|100
0|2021-12-16|3281.0|0|3309.0|0|49.0|0|0.0|100
0|2021-12-17|3303.0|0|3319.0|0|49.0|0|0.0|100
