|dates|Webster_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Webster_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Webster_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Webster_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Webster_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Webster_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Webster_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Webster_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6492.0|0|6492.0|0|146.0|0|0.0|100
0|2021-10-18|6519.0|0|6519.0|0|146.0|0|0.0|100
0|2021-10-19|6522.0|0|6522.0|0|146.0|0|0.0|100
0|2021-10-20|6531.0|0|6531.0|0|146.0|0|0.0|100
0|2021-10-21|6580.0|0|6580.0|0|147.0|0|0.0|100
0|2021-10-22|6591.0|0|6591.0|0|147.0|0|0.0|100
0|2021-10-23|6591.0|0|6591.0|0|147.0|0|0.0|100
0|2021-10-24|6591.0|0|6591.0|0|147.0|0|0.0|100
0|2021-10-25|6606.0|0|6606.0|0|147.0|0|0.0|100
0|2021-10-26|6616.0|0|6616.0|0|147.0|0|0.0|100
0|2021-10-27|6620.0|0|6620.0|0|147.0|0|0.0|100
0|2021-10-28|6630.0|0|6630.0|0|147.0|0|0.0|100
0|2021-10-29|6631.0|0|6631.0|0|147.0|0|0.0|100
0|2021-10-30|6631.0|0|6631.0|0|147.0|0|0.0|100
0|2021-10-31|6631.0|0|6631.0|0|147.0|0|0.0|100
0|2021-11-01|6643.0|0|6643.0|0|147.0|0|0.0|100
0|2021-11-02|6644.0|0|6644.0|0|147.0|0|0.0|100
0|2021-11-03|6650.0|0|6650.0|0|147.0|0|0.0|100
0|2021-11-04|6650.0|0|6650.0|0|147.0|0|0.0|100
0|2021-11-05|6652.0|0|6652.0|0|147.0|0|0.0|100
0|2021-11-06|6652.0|0|6652.0|0|147.0|0|0.0|100
0|2021-11-07|6652.0|0|6652.0|0|147.0|0|0.0|100
0|2021-11-08|6658.0|0|6658.0|0|147.0|0|0.0|100
0|2021-11-09|6658.0|0|6658.0|0|148.0|0|0.0|100
0|2021-11-10|6669.0|0|6669.0|0|148.0|0|0.0|100
