|dates|Jones_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Jones_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Jones_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Jones_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Jones_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Jones_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Jones_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Jones_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|137.0|0|137.0|0|1.0|0|0.0|100
0|2021-10-18|137.0|0|137.0|0|1.0|0|0.0|100
0|2021-10-19|137.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-20|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-21|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-22|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-23|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-24|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-25|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-26|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-27|138.0|0|138.0|0|1.0|0|0.0|100
0|2021-10-28|140.0|0|140.0|0|1.0|0|0.0|100
0|2021-10-29|140.0|0|140.0|0|1.0|0|0.0|100
0|2021-10-30|140.0|0|140.0|0|1.0|0|0.0|100
0|2021-10-31|140.0|0|140.0|0|1.0|0|0.0|100
0|2021-11-01|140.0|0|140.0|0|1.0|0|0.0|100
0|2021-11-02|140.0|0|140.0|0|1.0|0|0.0|100
0|2021-11-03|140.0|0|140.0|0|1.0|0|0.0|100
0|2021-11-04|141.0|0|141.0|0|1.0|0|0.0|100
0|2021-11-05|143.0|0|143.0|0|1.0|0|0.0|100
0|2021-11-06|143.0|0|143.0|0|1.0|0|0.0|100
0|2021-11-07|143.0|0|143.0|0|1.0|0|0.0|100
0|2021-11-08|143.0|0|143.0|0|1.0|0|0.0|100
0|2021-11-09|144.0|0|144.0|0|1.0|0|0.0|100
0|2021-11-10|144.0|0|145.0|0|1.0|0|0.0|100
0|2021-11-11|145.0|0|145.0|0|1.0|0|0.0|100
0|2021-11-12|145.0|0|145.0|0|1.0|0|0.0|100
0|2021-11-13|145.0|0|145.0|0|1.0|0|0.0|100
0|2021-11-14|145.0|0|145.0|0|1.0|0|0.0|100
0|2021-11-15|145.0|0|145.0|0|1.0|0|0.0|100
0|2021-11-16|146.0|0|146.0|0|1.0|0|0.0|100
0|2021-11-17|146.0|0|146.0|0|1.0|0|0.0|100
0|2021-11-18|146.0|0|146.0|0|1.0|0|0.0|100
0|2021-11-19|146.0|0|146.0|0|1.0|0|0.0|100
0|2021-11-20|146.0|0|146.0|0|1.0|0|0.0|100
0|2021-11-21|146.0|0|146.0|0|1.0|0|0.0|100
0|2021-11-22|146.0|0|146.0|0|1.0|0|0.0|100
