|dates|Grayson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Grayson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Grayson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Grayson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Grayson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Grayson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Grayson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Grayson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4597.0|0|4597.0|0|84.0|0|0.0|100
0|2021-10-18|4632.0|0|4632.0|0|86.0|0|0.0|100
0|2021-10-19|4636.0|0|4636.0|0|86.0|0|0.0|100
0|2021-10-20|4653.0|0|4653.0|0|88.0|0|0.0|100
0|2021-10-21|4682.0|0|4682.0|0|88.0|0|0.0|100
0|2021-10-22|4689.0|0|4689.0|0|88.0|0|0.0|100
0|2021-10-23|4689.0|0|4689.0|0|88.0|0|0.0|100
0|2021-10-24|4689.0|0|4689.0|0|88.0|0|0.0|100
0|2021-10-25|4740.0|0|4740.0|0|89.0|0|0.0|100
0|2021-10-26|4746.0|0|4746.0|0|90.0|0|0.0|100
0|2021-10-27|4756.0|0|4756.0|0|90.0|0|0.0|100
0|2021-10-28|4771.0|0|4771.0|0|90.0|0|0.0|100
0|2021-10-29|4774.0|0|4774.0|0|90.0|0|0.0|100
0|2021-10-30|4774.0|0|4774.0|0|90.0|0|0.0|100
0|2021-10-31|4774.0|0|4774.0|0|90.0|0|0.0|100
0|2021-11-01|4792.0|0|4792.0|0|91.0|0|0.0|100
0|2021-11-02|4806.0|0|4806.0|0|91.0|0|0.0|100
0|2021-11-03|4813.0|0|4813.0|0|92.0|0|0.0|100
0|2021-11-04|4822.0|0|4822.0|0|93.0|0|0.0|100
0|2021-11-05|4825.0|0|4825.0|0|93.0|0|0.0|100
0|2021-11-06|4825.0|0|4825.0|0|93.0|0|0.0|100
0|2021-11-07|4825.0|0|4825.0|0|93.0|0|0.0|100
0|2021-11-08|4854.0|0|4854.0|0|93.0|0|0.0|100
0|2021-11-09|4856.0|0|4856.0|0|94.0|0|0.0|100
0|2021-11-10|4856.0|0|4875.0|0|94.0|0|0.0|100
0|2021-11-11|4875.0|0|4875.0|0|95.0|0|0.0|100
0|2021-11-12|4881.0|0|4881.0|0|95.0|0|0.0|100
0|2021-11-13|4881.0|0|4881.0|0|95.0|0|0.0|100
0|2021-11-14|4881.0|0|4881.0|0|95.0|0|0.0|100
0|2021-11-15|4897.0|0|4897.0|0|95.0|0|0.0|100
0|2021-11-16|4904.0|0|4904.0|0|96.0|0|0.0|100
0|2021-11-17|4915.0|0|4915.0|0|96.0|0|0.0|100
0|2021-11-18|4932.0|0|4932.0|0|96.0|0|0.0|100
0|2021-11-19|4921.0|0|4921.0|0|99.0|0|0.0|100
0|2021-11-20|4921.0|0|4921.0|0|99.0|0|0.0|100
0|2021-11-21|4921.0|0|4921.0|0|99.0|0|0.0|100
0|2021-11-22|4946.0|0|4946.0|0|99.0|0|0.0|100
0|2021-11-23|4958.0|0|4958.0|0|99.0|0|0.0|100
0|2021-11-24|4979.0|0|4979.0|0|99.0|0|0.0|100
0|2021-11-25|4979.0|0|4979.0|0|99.0|0|0.0|100
0|2021-11-26|4979.0|0|4979.0|0|99.0|0|0.0|100
0|2021-11-27|4979.0|0|4979.0|0|99.0|0|0.0|100
0|2021-11-28|4979.0|0|4979.0|0|99.0|0|0.0|100
0|2021-11-29|5031.0|0|5031.0|0|99.0|0|0.0|100
0|2021-11-30|5043.0|0|5043.0|0|100.0|0|0.0|100
0|2021-12-01|5056.0|0|5056.0|0|100.0|0|0.0|100
0|2021-12-02|5056.0|0|5069.0|0|100.0|0|0.0|100
0|2021-12-03|5080.0|0|5080.0|0|100.0|0|0.0|100
0|2021-12-04|5080.0|0|5080.0|0|100.0|0|0.0|100
0|2021-12-05|5080.0|0|5080.0|0|100.0|0|0.0|100
0|2021-12-06|5116.0|0|5116.0|0|100.0|0|0.0|100
0|2021-12-07|5132.0|0|5132.0|0|100.0|0|0.0|100
0|2021-12-08|5148.0|0|5148.0|0|100.0|0|0.0|100
0|2021-12-09|5164.0|0|5164.0|0|100.0|0|0.0|100
0|2021-12-10|5170.0|0|5170.0|0|100.0|0|0.0|100
0|2021-12-11|5170.0|0|5170.0|0|100.0|0|0.0|100
0|2021-12-12|5170.0|0|5170.0|0|100.0|0|0.0|100
0|2021-12-13|5187.0|0|5187.0|0|100.0|0|0.0|100
0|2021-12-14|5187.0|0|5196.0|0|100.0|0|0.0|100
0|2021-12-15|5204.0|0|5204.0|0|100.0|0|0.0|100
0|2021-12-16|5222.0|0|5222.0|0|100.0|0|0.0|100
0|2021-12-17|5226.0|0|5226.0|0|101.0|0|0.0|100
0|2021-12-18|5226.0|0|5226.0|0|101.0|0|0.0|100
0|2021-12-19|5226.0|0|5226.0|0|101.0|0|0.0|100
0|2021-12-20|5264.0|0|5264.0|0|101.0|0|0.0|100
0|2021-12-21|5280.0|0|5280.0|0|101.0|0|0.0|100
0|2021-12-22|5294.0|0|5294.0|0|101.0|0|0.0|100
0|2021-12-23|5294.0|0|5294.0|0|101.0|0|0.0|100
0|2021-12-24|5294.0|0|5294.0|0|101.0|0|0.0|100
0|2021-12-25|5294.0|0|5294.0|0|101.0|0|0.0|100
0|2021-12-26|5294.0|0|5294.0|0|101.0|0|0.0|100
0|2021-12-27|5344.0|0|5344.0|0|105.0|0|0.0|100
0|2021-12-28|5361.0|0|5361.0|0|106.0|0|0.0|100
0|2021-12-29|5379.0|0|5379.0|0|106.0|0|0.0|100
0|2021-12-30|5379.0|0|5379.0|0|106.0|0|0.0|100
0|2021-12-31|5379.0|0|5379.0|0|106.0|0|0.0|100
0|2022-01-01|5379.0|0|5379.0|0|106.0|0|0.0|100
0|2022-01-02|5379.0|0|5379.0|0|106.0|0|0.0|100
0|2022-01-03|5463.0|0|5463.0|0|108.0|0|0.0|100
0|2022-01-04|5487.0|0|5487.0|0|109.0|0|0.0|100
0|2022-01-05|5506.0|0|5506.0|0|109.0|0|0.0|100
0|2022-01-06|5536.0|0|5536.0|0|109.0|0|0.0|100
0|2022-01-07|5545.0|0|5545.0|0|109.0|0|0.0|100
0|2022-01-08|5545.0|0|5545.0|0|109.0|0|0.0|100
0|2022-01-09|5545.0|0|5545.0|0|109.0|0|0.0|100
0|2022-01-10|5607.0|0|5607.0|0|109.0|0|0.0|100
0|2022-01-11|5651.0|0|5651.0|0|109.0|0|0.0|100
0|2022-01-12|5691.0|0|5691.0|0|109.0|0|0.0|100
0|2022-01-13|5691.0|0|5725.0|0|109.0|0|0.0|100
0|2022-01-14|5809.0|0|5809.0|0|109.0|0|0.0|100
0|2022-01-15|5809.0|0|5809.0|0|109.0|0|0.0|100
0|2022-01-16|5809.0|0|5809.0|0|109.0|0|0.0|100
0|2022-01-17|5809.0|0|0.0|100|109.0|0|0.0|100
