|dates|Gray_Texas_UnitedStates.JHU_ConfirmedCases.data|Gray_Texas_UnitedStates.JHU_ConfirmedCases.missing|Gray_Texas_UnitedStates.NYT_ConfirmedCases.data|Gray_Texas_UnitedStates.NYT_ConfirmedCases.missing|Gray_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Gray_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Gray_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Gray_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3448.0|0|3448.0|0|77.0|0|0.0|100
0|2021-10-18|3448.0|0|3448.0|0|77.0|0|0.0|100
0|2021-10-19|3457.0|0|3457.0|0|77.0|0|0.0|100
0|2021-10-20|3472.0|0|3472.0|0|77.0|0|0.0|100
0|2021-10-21|3478.0|0|3478.0|0|77.0|0|0.0|100
0|2021-10-22|3478.0|0|3478.0|0|79.0|0|0.0|100
0|2021-10-23|3486.0|0|3486.0|0|79.0|0|0.0|100
0|2021-10-24|3486.0|0|3486.0|0|79.0|0|0.0|100
0|2021-10-25|3486.0|0|3486.0|0|79.0|0|0.0|100
0|2021-10-26|3494.0|0|3494.0|0|79.0|0|0.0|100
0|2021-10-27|3497.0|0|3497.0|0|79.0|0|0.0|100
0|2021-10-28|3497.0|0|3497.0|0|79.0|0|0.0|100
0|2021-10-29|3508.0|0|3508.0|0|79.0|0|0.0|100
0|2021-10-30|3519.0|0|3519.0|0|80.0|0|0.0|100
0|2021-10-31|3519.0|0|3519.0|0|80.0|0|0.0|100
0|2021-11-01|3519.0|0|3519.0|0|80.0|0|0.0|100
0|2021-11-02|3531.0|0|3531.0|0|80.0|0|0.0|100
0|2021-11-03|3532.0|0|3532.0|0|80.0|0|0.0|100
0|2021-11-04|3537.0|0|3537.0|0|80.0|0|0.0|100
0|2021-11-05|3541.0|0|3541.0|0|80.0|0|0.0|100
0|2021-11-06|3553.0|0|3553.0|0|80.0|0|0.0|100
0|2021-11-07|3553.0|0|3553.0|0|80.0|0|0.0|100
0|2021-11-08|3553.0|0|3553.0|0|80.0|0|0.0|100
0|2021-11-09|3606.0|0|3606.0|0|80.0|0|0.0|100
0|2021-11-10|3606.0|0|3606.0|0|80.0|0|0.0|100
0|2021-11-11|3633.0|0|3633.0|0|81.0|0|0.0|100
0|2021-11-12|3633.0|0|3633.0|0|81.0|0|0.0|100
0|2021-11-13|3650.0|0|3650.0|0|82.0|0|0.0|100
0|2021-11-14|3650.0|0|3650.0|0|83.0|0|0.0|100
0|2021-11-15|3650.0|0|3650.0|0|83.0|0|0.0|100
0|2021-11-16|3691.0|0|3691.0|0|83.0|0|0.0|100
0|2021-11-17|3724.0|0|3724.0|0|83.0|0|0.0|100
0|2021-11-18|3724.0|0|3724.0|0|83.0|0|0.0|100
