|dates|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Bradford_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Bradford_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7441.0|0|7441.0|0|112.0|0|0.0|100
0|2021-10-18|7451.0|0|7451.0|0|114.0|0|0.0|100
0|2021-10-19|7470.0|0|7470.0|0|115.0|0|0.0|100
0|2021-10-20|7503.0|0|7503.0|0|117.0|0|0.0|100
0|2021-10-21|7531.0|0|7531.0|0|119.0|0|0.0|100
0|2021-10-22|7554.0|0|7554.0|0|119.0|0|0.0|100
0|2021-10-23|7577.0|0|7577.0|0|121.0|0|0.0|100
0|2021-10-24|7598.0|0|7598.0|0|121.0|0|0.0|100
0|2021-10-25|7604.0|0|7604.0|0|121.0|0|0.0|100
0|2021-10-26|7614.0|0|7614.0|0|121.0|0|0.0|100
0|2021-10-27|7644.0|0|7644.0|0|122.0|0|0.0|100
0|2021-10-28|7683.0|0|7683.0|0|122.0|0|0.0|100
0|2021-10-29|7733.0|0|7733.0|0|122.0|0|0.0|100
0|2021-10-30|7790.0|0|7790.0|0|122.0|0|0.0|100
0|2021-10-31|7815.0|0|7815.0|0|123.0|0|0.0|100
0|2021-11-01|7815.0|0|7815.0|0|123.0|0|0.0|100
0|2021-11-02|7874.0|0|7874.0|0|123.0|0|0.0|100
0|2021-11-03|7908.0|0|7908.0|0|124.0|0|0.0|100
0|2021-11-04|7981.0|0|7981.0|0|124.0|0|0.0|100
0|2021-11-05|8044.0|0|8044.0|0|124.0|0|0.0|100
0|2021-11-06|8086.0|0|8086.0|0|124.0|0|0.0|100
0|2021-11-07|8126.0|0|8126.0|0|124.0|0|0.0|100
0|2021-11-08|8144.0|0|8144.0|0|124.0|0|0.0|100
0|2021-11-09|8176.0|0|8176.0|0|124.0|0|0.0|100
0|2021-11-10|8237.0|0|8237.0|0|125.0|0|0.0|100
0|2021-11-11|8280.0|0|8280.0|0|125.0|0|0.0|100
0|2021-11-12|8329.0|0|8329.0|0|125.0|0|0.0|100
0|2021-11-13|8488.0|0|8488.0|0|127.0|0|0.0|100
0|2021-11-14|8539.0|0|8539.0|0|128.0|0|0.0|100
0|2021-11-15|8569.0|0|8569.0|0|128.0|0|0.0|100
0|2021-11-16|8610.0|0|8610.0|0|128.0|0|0.0|100
0|2021-11-17|8700.0|0|8700.0|0|130.0|0|0.0|100
0|2021-11-18|8737.0|0|8737.0|0|131.0|0|0.0|100
0|2021-11-19|8805.0|0|8805.0|0|131.0|0|0.0|100
0|2021-11-20|8854.0|0|8854.0|0|135.0|0|0.0|100
0|2021-11-21|8897.0|0|8897.0|0|135.0|0|0.0|100
0|2021-11-22|8926.0|0|8926.0|0|135.0|0|0.0|100
0|2021-11-23|8973.0|0|8973.0|0|135.0|0|0.0|100
0|2021-11-24|9047.0|0|9047.0|0|136.0|0|0.0|100
0|2021-11-25|9087.0|0|9087.0|0|136.0|0|0.0|100
0|2021-11-26|9135.0|0|9135.0|0|136.0|0|0.0|100
0|2021-11-27|9157.0|0|9157.0|0|137.0|0|0.0|100
0|2021-11-28|9176.0|0|9176.0|0|137.0|0|0.0|100
0|2021-11-29|9194.0|0|9194.0|0|137.0|0|0.0|100
0|2021-11-30|9237.0|0|9237.0|0|137.0|0|0.0|100
0|2021-12-01|9287.0|0|9287.0|0|137.0|0|0.0|100
0|2021-12-02|9365.0|0|9365.0|0|137.0|0|0.0|100
0|2021-12-03|9446.0|0|9446.0|0|138.0|0|0.0|100
0|2021-12-04|9506.0|0|9506.0|0|138.0|0|0.0|100
0|2021-12-05|9566.0|0|9566.0|0|138.0|0|0.0|100
0|2021-12-06|9578.0|0|9578.0|0|138.0|0|0.0|100
0|2021-12-07|9613.0|0|9613.0|0|138.0|0|0.0|100
0|2021-12-08|9664.0|0|9664.0|0|139.0|0|0.0|100
0|2021-12-09|9704.0|0|9704.0|0|142.0|0|0.0|100
0|2021-12-10|9753.0|0|9753.0|0|144.0|0|0.0|100
0|2021-12-11|9833.0|0|9833.0|0|145.0|0|0.0|100
0|2021-12-12|9885.0|0|9885.0|0|145.0|0|0.0|100
0|2021-12-13|9902.0|0|9902.0|0|145.0|0|0.0|100
0|2021-12-14|9902.0|0|9948.0|0|145.0|0|0.0|100
0|2021-12-15|9902.0|0|10008.0|0|146.0|0|0.0|100
0|2021-12-16|10058.0|0|10058.0|0|146.0|0|0.0|100
0|2021-12-17|10135.0|0|10135.0|0|147.0|0|0.0|100
0|2021-12-18|10181.0|0|10181.0|0|147.0|0|0.0|100
0|2021-12-19|10205.0|0|10205.0|0|147.0|0|0.0|100
0|2021-12-20|10212.0|0|10212.0|0|147.0|0|0.0|100
0|2021-12-21|10250.0|0|10250.0|0|149.0|0|0.0|100
0|2021-12-22|10292.0|0|10292.0|0|149.0|0|0.0|100
0|2021-12-23|10335.0|0|10335.0|0|150.0|0|0.0|100
0|2021-12-24|10393.0|0|10393.0|0|150.0|0|0.0|100
