|dates|Hale_Alabama_UnitedStates.JHU_ConfirmedCases.data|Hale_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Hale_Alabama_UnitedStates.NYT_ConfirmedCases.data|Hale_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Hale_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Hale_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Hale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Hale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3094.0|0|3094.0|0|87.0|0|0.0|100
0|2021-10-18|3094.0|0|3094.0|0|87.0|0|0.0|100
0|2021-10-19|3102.0|0|3102.0|0|88.0|0|0.0|100
0|2021-10-20|3106.0|0|3106.0|0|88.0|0|0.0|100
0|2021-10-21|3110.0|0|3110.0|0|88.0|0|0.0|100
0|2021-10-22|3111.0|0|3111.0|0|88.0|0|0.0|100
0|2021-10-23|3113.0|0|3113.0|0|88.0|0|0.0|100
0|2021-10-24|3116.0|0|3116.0|0|88.0|0|0.0|100
0|2021-10-25|3116.0|0|3116.0|0|88.0|0|0.0|100
0|2021-10-26|3119.0|0|3119.0|0|88.0|0|0.0|100
0|2021-10-27|3128.0|0|3128.0|0|88.0|0|0.0|100
0|2021-10-28|3132.0|0|3132.0|0|88.0|0|0.0|100
0|2021-10-29|3135.0|0|3135.0|0|88.0|0|0.0|100
0|2021-10-30|3136.0|0|3136.0|0|88.0|0|0.0|100
0|2021-10-31|3137.0|0|3137.0|0|88.0|0|0.0|100
0|2021-11-01|3137.0|0|3137.0|0|88.0|0|0.0|100
0|2021-11-02|3140.0|0|3140.0|0|89.0|0|0.0|100
0|2021-11-03|3143.0|0|3143.0|0|89.0|0|0.0|100
0|2021-11-04|3141.0|0|3141.0|0|88.0|0|0.0|100
0|2021-11-05|3143.0|0|3143.0|0|88.0|0|0.0|100
0|2021-11-06|3145.0|0|3145.0|0|88.0|0|0.0|100
0|2021-11-07|3146.0|0|3146.0|0|88.0|0|0.0|100
0|2021-11-08|3147.0|0|3147.0|0|88.0|0|0.0|100
0|2021-11-09|3149.0|0|3149.0|0|88.0|0|0.0|100
0|2021-11-10|3149.0|0|3148.0|0|88.0|0|0.0|100
0|2021-11-11|3149.0|0|3149.0|0|88.0|0|0.0|100
0|2021-11-12|3151.0|0|3151.0|0|88.0|0|0.0|100
0|2021-11-13|3154.0|0|3154.0|0|88.0|0|0.0|100
0|2021-11-14|3155.0|0|3155.0|0|88.0|0|0.0|100
0|2021-11-15|3155.0|0|3155.0|0|88.0|0|0.0|100
0|2021-11-16|3157.0|0|3157.0|0|89.0|0|0.0|100
0|2021-11-17|3158.0|0|3158.0|0|89.0|0|0.0|100
0|2021-11-18|3161.0|0|3161.0|0|89.0|0|0.0|100
0|2021-11-19|3163.0|0|3163.0|0|89.0|0|0.0|100
0|2021-11-20|3168.0|0|3168.0|0|89.0|0|0.0|100
0|2021-11-21|3168.0|0|3168.0|0|89.0|0|0.0|100
0|2021-11-22|3170.0|0|3170.0|0|89.0|0|0.0|100
0|2021-11-23|3171.0|0|3171.0|0|89.0|0|0.0|100
0|2021-11-24|3174.0|0|3174.0|0|89.0|0|0.0|100
0|2021-11-25|3179.0|0|3179.0|0|89.0|0|0.0|100
0|2021-11-26|3179.0|0|3179.0|0|89.0|0|0.0|100
