|dates|Wexford_Michigan_UnitedStates.JHU_ConfirmedCases.data|Wexford_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Wexford_Michigan_UnitedStates.NYT_ConfirmedCases.data|Wexford_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Wexford_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Wexford_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Wexford_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Wexford_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3479.0|0|3479.0|0|51.0|0|0.0|100
0|2021-10-18|3527.0|0|3527.0|0|51.0|0|0.0|100
0|2021-10-19|3527.0|0|3527.0|0|51.0|0|0.0|100
0|2021-10-20|3564.0|0|3564.0|0|51.0|0|0.0|100
0|2021-10-21|3564.0|0|3564.0|0|51.0|0|0.0|100
0|2021-10-22|3601.0|0|3601.0|0|52.0|0|0.0|100
0|2021-10-23|3601.0|0|3601.0|0|52.0|0|0.0|100
0|2021-10-24|3601.0|0|3601.0|0|52.0|0|0.0|100
0|2021-10-25|3640.0|0|3640.0|0|52.0|0|0.0|100
0|2021-10-26|3640.0|0|3640.0|0|52.0|0|0.0|100
0|2021-10-27|3683.0|0|3683.0|0|53.0|0|0.0|100
0|2021-10-28|3683.0|0|3683.0|0|53.0|0|0.0|100
0|2021-10-29|3738.0|0|3738.0|0|53.0|0|0.0|100
0|2021-10-30|3738.0|0|3738.0|0|53.0|0|0.0|100
0|2021-10-31|3738.0|0|3738.0|0|53.0|0|0.0|100
0|2021-11-01|3776.0|0|3776.0|0|53.0|0|0.0|100
0|2021-11-02|3776.0|0|3776.0|0|53.0|0|0.0|100
0|2021-11-03|3817.0|0|3817.0|0|55.0|0|0.0|100
0|2021-11-04|3817.0|0|3817.0|0|55.0|0|0.0|100
0|2021-11-05|3883.0|0|3883.0|0|55.0|0|0.0|100
0|2021-11-06|3883.0|0|3883.0|0|55.0|0|0.0|100
0|2021-11-07|3883.0|0|3883.0|0|55.0|0|0.0|100
0|2021-11-08|3932.0|0|3932.0|0|57.0|0|0.0|100
0|2021-11-09|3932.0|0|3932.0|0|57.0|0|0.0|100
0|2021-11-10|3932.0|0|3963.0|0|57.0|0|0.0|100
0|2021-11-11|3963.0|0|3963.0|0|58.0|0|0.0|100
0|2021-11-12|4025.0|0|4025.0|0|58.0|0|0.0|100
0|2021-11-13|4025.0|0|4025.0|0|58.0|0|0.0|100
0|2021-11-14|4025.0|0|4025.0|0|58.0|0|0.0|100
0|2021-11-15|4123.0|0|4123.0|0|59.0|0|0.0|100
0|2021-11-16|4123.0|0|4123.0|0|59.0|0|0.0|100
0|2021-11-17|4180.0|0|4180.0|0|62.0|0|0.0|100
0|2021-11-18|4180.0|0|4180.0|0|62.0|0|0.0|100
0|2021-11-19|4265.0|0|4265.0|0|62.0|0|0.0|100
0|2021-11-20|4265.0|0|4265.0|0|62.0|0|0.0|100
0|2021-11-21|4265.0|0|4265.0|0|62.0|0|0.0|100
0|2021-11-22|4339.0|0|4339.0|0|62.0|0|0.0|100
0|2021-11-23|4339.0|0|4339.0|0|62.0|0|0.0|100
