|dates|Washoe_Nevada_UnitedStates.BLS_EmployedPopulation.data|Washoe_Nevada_UnitedStates.BLS_EmployedPopulation.missing|Washoe_Nevada_UnitedStates.BLS_UnemployedPopulation.data|Washoe_Nevada_UnitedStates.BLS_UnemployedPopulation.missing|Washoe_Nevada_UnitedStates.BLS_UnemploymentRate.data|Washoe_Nevada_UnitedStates.BLS_UnemploymentRate.missing|Washoe_Nevada_UnitedStates.BLS_LaborForcePopulation.data|Washoe_Nevada_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-19|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-20|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-21|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-22|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-23|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-24|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-25|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-26|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-27|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-28|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-29|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-30|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2021-12-31|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-01|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-02|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-03|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-04|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-05|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-06|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-07|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-08|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-09|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-10|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-11|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-12|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-13|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-14|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-15|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-16|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
0|2022-01-17|255711.0|0|12034.0|0|4.494575062092663|0|267745.0|0
