|dates|Fairfield_Connecticut_UnitedStates.JHU_ConfirmedCases.data|Fairfield_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|Fairfield_Connecticut_UnitedStates.NYT_ConfirmedCases.data|Fairfield_Connecticut_UnitedStates.NYT_ConfirmedCases.missing|Fairfield_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|Fairfield_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|Fairfield_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|Fairfield_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|111615.0|0|111615.0|0|2294.0|0|0.0|100
0|2021-10-18|111812.0|0|111812.0|0|2294.0|0|0.0|100
0|2021-10-19|111942.0|0|111942.0|0|2296.0|0|0.0|100
0|2021-10-20|111988.0|0|111988.0|0|2296.0|0|0.0|100
0|2021-10-21|112061.0|0|112061.0|0|2296.0|0|0.0|100
0|2021-10-22|112149.0|0|112149.0|0|2300.0|0|0.0|100
0|2021-10-23|112149.0|0|112149.0|0|2300.0|0|0.0|100
0|2021-10-24|112149.0|0|112149.0|0|2300.0|0|0.0|100
0|2021-10-25|112283.0|0|112283.0|0|2300.0|0|0.0|100
0|2021-10-26|112345.0|0|112345.0|0|2305.0|0|0.0|100
0|2021-10-27|112387.0|0|112387.0|0|2305.0|0|0.0|100
0|2021-10-28|112494.0|0|112494.0|0|2304.0|0|0.0|100
0|2021-10-29|112576.0|0|112576.0|0|2307.0|0|0.0|100
0|2021-10-30|112576.0|0|112576.0|0|2307.0|0|0.0|100
0|2021-10-31|112576.0|0|112576.0|0|2307.0|0|0.0|100
0|2021-11-01|112708.0|0|112708.0|0|2308.0|0|0.0|100
0|2021-11-02|112783.0|0|112783.0|0|2308.0|0|0.0|100
0|2021-11-03|112852.0|0|112852.0|0|2308.0|0|0.0|100
0|2021-11-04|112921.0|0|112921.0|0|2308.0|0|0.0|100
0|2021-11-05|112972.0|0|112972.0|0|2310.0|0|0.0|100
0|2021-11-06|112972.0|0|112972.0|0|2310.0|0|0.0|100
0|2021-11-07|112972.0|0|112972.0|0|2310.0|0|0.0|100
