|dates|DeerLodge_Montana_UnitedStates.JHU_ConfirmedCases.data|DeerLodge_Montana_UnitedStates.JHU_ConfirmedCases.missing|DeerLodge_Montana_UnitedStates.NYT_ConfirmedCases.data|DeerLodge_Montana_UnitedStates.NYT_ConfirmedCases.missing|DeerLodge_Montana_UnitedStates.JHU_ConfirmedDeaths.data|DeerLodge_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|DeerLodge_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|DeerLodge_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1525.0|0|1525.0|0|24.0|0|0.0|100
0|2021-10-18|1534.0|0|1534.0|0|24.0|0|0.0|100
0|2021-10-19|1538.0|0|1538.0|0|24.0|0|0.0|100
0|2021-10-20|1546.0|0|1546.0|0|24.0|0|0.0|100
0|2021-10-21|1549.0|0|1549.0|0|24.0|0|0.0|100
0|2021-10-22|1556.0|0|1556.0|0|24.0|0|0.0|100
0|2021-10-23|1556.0|0|1556.0|0|24.0|0|0.0|100
0|2021-10-24|1556.0|0|1556.0|0|24.0|0|0.0|100
0|2021-10-25|1569.0|0|1569.0|0|24.0|0|0.0|100
0|2021-10-26|1578.0|0|1578.0|0|24.0|0|0.0|100
0|2021-10-27|1584.0|0|1584.0|0|24.0|0|0.0|100
0|2021-10-28|1588.0|0|1588.0|0|24.0|0|0.0|100
0|2021-10-29|1594.0|0|1594.0|0|24.0|0|0.0|100
0|2021-10-30|1594.0|0|1594.0|0|24.0|0|0.0|100
0|2021-10-31|1594.0|0|1594.0|0|24.0|0|0.0|100
0|2021-11-01|1602.0|0|1602.0|0|24.0|0|0.0|100
0|2021-11-02|1605.0|0|1605.0|0|24.0|0|0.0|100
0|2021-11-03|1610.0|0|1610.0|0|24.0|0|0.0|100
0|2021-11-04|1613.0|0|1613.0|0|24.0|0|0.0|100
0|2021-11-05|1618.0|0|1618.0|0|24.0|0|0.0|100
0|2021-11-06|1618.0|0|1618.0|0|24.0|0|0.0|100
0|2021-11-07|1618.0|0|1618.0|0|24.0|0|0.0|100
0|2021-11-08|1622.0|0|1622.0|0|25.0|0|0.0|100
0|2021-11-09|1626.0|0|1626.0|0|25.0|0|0.0|100
0|2021-11-10|1626.0|0|1629.0|0|25.0|0|0.0|100
0|2021-11-11|1629.0|0|1629.0|0|25.0|0|0.0|100
0|2021-11-12|1633.0|0|1633.0|0|25.0|0|0.0|100
0|2021-11-13|1633.0|0|1633.0|0|25.0|0|0.0|100
