|dates|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Trousdale_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Trousdale_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Trousdale_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3137.0|0|3137.0|0|25.0|0|0.0|100
0|2021-10-18|3142.0|0|3142.0|0|25.0|0|0.0|100
0|2021-10-19|3146.0|0|3146.0|0|26.0|0|0.0|100
0|2021-10-20|3148.0|0|3148.0|0|26.0|0|0.0|100
0|2021-10-21|3149.0|0|3149.0|0|26.0|0|0.0|100
0|2021-10-22|3152.0|0|3152.0|0|26.0|0|0.0|100
0|2021-10-23|3152.0|0|3152.0|0|26.0|0|0.0|100
0|2021-10-24|3152.0|0|3152.0|0|26.0|0|0.0|100
0|2021-10-25|3152.0|0|3152.0|0|26.0|0|0.0|100
0|2021-10-26|3155.0|0|3155.0|0|26.0|0|0.0|100
0|2021-10-27|3158.0|0|3158.0|0|26.0|0|0.0|100
0|2021-10-28|3158.0|0|3158.0|0|26.0|0|0.0|100
0|2021-10-29|3162.0|0|3162.0|0|26.0|0|0.0|100
0|2021-10-30|3162.0|0|3162.0|0|26.0|0|0.0|100
0|2021-10-31|3162.0|0|3162.0|0|26.0|0|0.0|100
0|2021-11-01|3162.0|0|3162.0|0|26.0|0|0.0|100
0|2021-11-02|3167.0|0|3167.0|0|26.0|0|0.0|100
0|2021-11-03|3170.0|0|3170.0|0|26.0|0|0.0|100
0|2021-11-04|3171.0|0|3171.0|0|26.0|0|0.0|100
0|2021-11-05|3172.0|0|3172.0|0|26.0|0|0.0|100
0|2021-11-06|3172.0|0|3172.0|0|26.0|0|0.0|100
0|2021-11-07|3172.0|0|3172.0|0|26.0|0|0.0|100
0|2021-11-08|3172.0|0|3172.0|0|26.0|0|0.0|100
0|2021-11-09|3185.0|0|3185.0|0|26.0|0|0.0|100
0|2021-11-10|3185.0|0|3187.0|0|26.0|0|0.0|100
0|2021-11-11|3187.0|0|3187.0|0|26.0|0|0.0|100
0|2021-11-12|3199.0|0|3199.0|0|26.0|0|0.0|100
0|2021-11-13|3199.0|0|3199.0|0|26.0|0|0.0|100
0|2021-11-14|3199.0|0|3199.0|0|26.0|0|0.0|100
0|2021-11-15|3205.0|0|3205.0|0|26.0|0|0.0|100
0|2021-11-16|3207.0|0|3207.0|0|26.0|0|0.0|100
0|2021-11-17|3212.0|0|3212.0|0|26.0|0|0.0|100
0|2021-11-18|3215.0|0|3215.0|0|26.0|0|0.0|100
0|2021-11-19|3219.0|0|3219.0|0|26.0|0|0.0|100
0|2021-11-20|3219.0|0|3219.0|0|26.0|0|0.0|100
0|2021-11-21|3219.0|0|3219.0|0|26.0|0|0.0|100
0|2021-11-22|3225.0|0|3225.0|0|26.0|0|0.0|100
0|2021-11-23|3225.0|0|3225.0|0|27.0|0|0.0|100
0|2021-11-24|3228.0|0|3228.0|0|27.0|0|0.0|100
0|2021-11-25|3228.0|0|3228.0|0|27.0|0|0.0|100
0|2021-11-26|3228.0|0|3228.0|0|27.0|0|0.0|100
0|2021-11-27|3228.0|0|3228.0|0|27.0|0|0.0|100
0|2021-11-28|3228.0|0|3228.0|0|27.0|0|0.0|100
0|2021-11-29|3237.0|0|3237.0|0|27.0|0|0.0|100
0|2021-11-30|3239.0|0|3239.0|0|27.0|0|0.0|100
0|2021-12-01|3240.0|0|3240.0|0|27.0|0|0.0|100
0|2021-12-02|3246.0|0|3246.0|0|27.0|0|0.0|100
0|2021-12-03|3246.0|0|3246.0|0|28.0|0|0.0|100
0|2021-12-04|3246.0|0|3246.0|0|28.0|0|0.0|100
0|2021-12-05|3246.0|0|3246.0|0|28.0|0|0.0|100
0|2021-12-06|3252.0|0|3252.0|0|28.0|0|0.0|100
0|2021-12-07|3256.0|0|3256.0|0|28.0|0|0.0|100
0|2021-12-08|3258.0|0|3258.0|0|28.0|0|0.0|100
0|2021-12-09|3258.0|0|3258.0|0|28.0|0|0.0|100
0|2021-12-10|3261.0|0|3261.0|0|28.0|0|0.0|100
0|2021-12-11|3261.0|0|3261.0|0|28.0|0|0.0|100
0|2021-12-12|3261.0|0|3261.0|0|28.0|0|0.0|100
0|2021-12-13|3268.0|0|3268.0|0|28.0|0|0.0|100
0|2021-12-14|3268.0|0|3268.0|0|28.0|0|0.0|100
0|2021-12-15|3270.0|0|3270.0|0|28.0|0|0.0|100
0|2021-12-16|3273.0|0|3273.0|0|28.0|0|0.0|100
0|2021-12-17|3273.0|0|3278.0|0|28.0|0|0.0|100
0|2021-12-18|3278.0|0|3278.0|0|28.0|0|0.0|100
0|2021-12-19|3278.0|0|3278.0|0|28.0|0|0.0|100
0|2021-12-20|3288.0|0|3288.0|0|28.0|0|0.0|100
0|2021-12-21|3294.0|0|3294.0|0|29.0|0|0.0|100
0|2021-12-22|3295.0|0|3295.0|0|29.0|0|0.0|100
0|2021-12-23|3302.0|0|3302.0|0|36.0|0|0.0|100
0|2021-12-24|3302.0|0|3302.0|0|36.0|0|0.0|100
0|2021-12-25|3302.0|0|3302.0|0|36.0|0|0.0|100
0|2021-12-26|3302.0|0|3302.0|0|36.0|0|0.0|100
