|dates|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Westmoreland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Westmoreland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Westmoreland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|43419.0|0|43419.0|0|869.0|0|0.0|100
0|2021-10-18|43568.0|0|43568.0|0|872.0|0|0.0|100
0|2021-10-19|43667.0|0|43667.0|0|875.0|0|0.0|100
0|2021-10-20|43749.0|0|43749.0|0|882.0|0|0.0|100
0|2021-10-21|43931.0|0|43931.0|0|886.0|0|0.0|100
0|2021-10-22|44054.0|0|44054.0|0|888.0|0|0.0|100
0|2021-10-23|44251.0|0|44251.0|0|889.0|0|0.0|100
0|2021-10-24|44363.0|0|44363.0|0|889.0|0|0.0|100
0|2021-10-25|44451.0|0|44451.0|0|889.0|0|0.0|100
0|2021-10-26|44630.0|0|44630.0|0|892.0|0|0.0|100
0|2021-10-27|44789.0|0|44789.0|0|896.0|0|0.0|100
0|2021-10-28|44881.0|0|44881.0|0|899.0|0|0.0|100
0|2021-10-29|45052.0|0|45052.0|0|900.0|0|0.0|100
0|2021-10-30|45178.0|0|45178.0|0|902.0|0|0.0|100
0|2021-10-31|45286.0|0|45286.0|0|903.0|0|0.0|100
0|2021-11-01|45286.0|0|45286.0|0|903.0|0|0.0|100
0|2021-11-02|45487.0|0|45487.0|0|905.0|0|0.0|100
0|2021-11-03|45668.0|0|45668.0|0|910.0|0|0.0|100
0|2021-11-04|45819.0|0|45819.0|0|913.0|0|0.0|100
0|2021-11-05|45983.0|0|45983.0|0|919.0|0|0.0|100
0|2021-11-06|46127.0|0|46127.0|0|923.0|0|0.0|100
0|2021-11-07|46245.0|0|46245.0|0|923.0|0|0.0|100
0|2021-11-08|46405.0|0|46405.0|0|923.0|0|0.0|100
0|2021-11-09|46495.0|0|46495.0|0|925.0|0|0.0|100
0|2021-11-10|46495.0|0|46719.0|0|925.0|0|0.0|100
0|2021-11-11|46833.0|0|46833.0|0|935.0|0|0.0|100
0|2021-11-12|47051.0|0|47051.0|0|935.0|0|0.0|100
0|2021-11-13|47984.0|0|47984.0|0|938.0|0|0.0|100
0|2021-11-14|48132.0|0|48132.0|0|939.0|0|0.0|100
0|2021-11-15|48270.0|0|48270.0|0|939.0|0|0.0|100
0|2021-11-16|48539.0|0|48539.0|0|941.0|0|0.0|100
0|2021-11-17|48723.0|0|48723.0|0|945.0|0|0.0|100
0|2021-11-18|48945.0|0|48945.0|0|949.0|0|0.0|100
0|2021-11-19|49221.0|0|49221.0|0|953.0|0|0.0|100
0|2021-11-20|49576.0|0|49576.0|0|958.0|0|0.0|100
0|2021-11-21|49730.0|0|49730.0|0|958.0|0|0.0|100
0|2021-11-22|50074.0|0|50074.0|0|959.0|0|0.0|100
0|2021-11-23|50198.0|0|50198.0|0|962.0|0|0.0|100
0|2021-11-24|50547.0|0|50547.0|0|967.0|0|0.0|100
0|2021-11-25|50686.0|0|50686.0|0|973.0|0|0.0|100
0|2021-11-26|50965.0|0|50965.0|0|973.0|0|0.0|100
0|2021-11-27|51096.0|0|51096.0|0|973.0|0|0.0|100
0|2021-11-28|51210.0|0|51210.0|0|975.0|0|0.0|100
0|2021-11-29|51514.0|0|51514.0|0|975.0|0|0.0|100
0|2021-11-30|51706.0|0|51706.0|0|980.0|0|0.0|100
0|2021-12-01|51919.0|0|51919.0|0|983.0|0|0.0|100
0|2021-12-02|52163.0|0|52163.0|0|990.0|0|0.0|100
0|2021-12-03|52700.0|0|52700.0|0|997.0|0|0.0|100
0|2021-12-04|52700.0|0|52934.0|0|997.0|0|0.0|100
0|2021-12-05|53070.0|0|53070.0|0|999.0|0|0.0|100
0|2021-12-06|53182.0|0|53182.0|0|1001.0|0|0.0|100
0|2021-12-07|53573.0|0|53573.0|0|1007.0|0|0.0|100
0|2021-12-08|53845.0|0|53845.0|0|1010.0|0|0.0|100
0|2021-12-09|54081.0|0|54081.0|0|1011.0|0|0.0|100
0|2021-12-10|54315.0|0|54315.0|0|1016.0|0|0.0|100
0|2021-12-11|54697.0|0|54697.0|0|1021.0|0|0.0|100
0|2021-12-12|54988.0|0|54988.0|0|1021.0|0|0.0|100
0|2021-12-13|55104.0|0|55104.0|0|1021.0|0|0.0|100
0|2021-12-14|55104.0|0|55435.0|0|1021.0|0|0.0|100
0|2021-12-15|55666.0|0|55666.0|0|1037.0|0|0.0|100
0|2021-12-16|55847.0|0|55847.0|0|1043.0|0|0.0|100
0|2021-12-17|56137.0|0|56137.0|0|1044.0|0|0.0|100
