|dates|Cascade_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cascade_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cascade_Montana_UnitedStates.Male_Total_Population.data|Cascade_Montana_UnitedStates.Male_Total_Population.missing|Cascade_Montana_UnitedStates.Female_Total_Population.data|Cascade_Montana_UnitedStates.Female_Total_Population.missing|Cascade_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Cascade_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-18|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-19|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-20|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-21|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-22|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-23|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-24|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-25|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-26|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-27|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-28|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-29|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-30|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-10-31|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-01|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-02|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-03|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-04|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-05|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-06|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-07|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-08|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-09|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-10|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-11|15160.0|0|41285.0|0|40358.0|0|18289.0|0
