|dates|Greenwood_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Greenwood_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Greenwood_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Greenwood_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Greenwood_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Greenwood_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Greenwood_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Greenwood_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12113.0|0|12113.0|0|212.0|0|0.0|100
0|2021-10-18|12198.0|0|12198.0|0|212.0|0|0.0|100
0|2021-10-19|12210.0|0|12210.0|0|212.0|0|0.0|100
0|2021-10-20|12245.0|0|12245.0|0|216.0|0|0.0|100
0|2021-10-21|12257.0|0|12257.0|0|217.0|0|0.0|100
0|2021-10-22|12287.0|0|12287.0|0|219.0|0|0.0|100
0|2021-10-23|12287.0|0|12287.0|0|219.0|0|0.0|100
0|2021-10-24|12287.0|0|12287.0|0|219.0|0|0.0|100
0|2021-10-25|12370.0|0|12370.0|0|220.0|0|0.0|100
0|2021-10-26|12375.0|0|12375.0|0|220.0|0|0.0|100
0|2021-10-27|12387.0|0|12387.0|0|221.0|0|0.0|100
0|2021-10-28|12401.0|0|12401.0|0|222.0|0|0.0|100
0|2021-10-29|12422.0|0|12422.0|0|222.0|0|0.0|100
0|2021-10-30|12422.0|0|12422.0|0|222.0|0|0.0|100
0|2021-10-31|12422.0|0|12422.0|0|222.0|0|0.0|100
0|2021-11-01|12474.0|0|12474.0|0|223.0|0|0.0|100
0|2021-11-02|12480.0|0|12480.0|0|223.0|0|0.0|100
0|2021-11-03|12502.0|0|12502.0|0|224.0|0|0.0|100
0|2021-11-04|12537.0|0|12537.0|0|224.0|0|0.0|100
0|2021-11-05|12546.0|0|12546.0|0|224.0|0|0.0|100
0|2021-11-06|12546.0|0|12546.0|0|224.0|0|0.0|100
0|2021-11-07|12546.0|0|12546.0|0|224.0|0|0.0|100
0|2021-11-08|12591.0|0|12591.0|0|226.0|0|0.0|100
0|2021-11-09|12593.0|0|12593.0|0|226.0|0|0.0|100
0|2021-11-10|12606.0|0|12606.0|0|226.0|0|0.0|100
0|2021-11-11|12606.0|0|12606.0|0|226.0|0|0.0|100
0|2021-11-12|12638.0|0|12638.0|0|228.0|0|0.0|100
0|2021-11-13|12638.0|0|12638.0|0|228.0|0|0.0|100
0|2021-11-14|12638.0|0|12638.0|0|228.0|0|0.0|100
0|2021-11-15|12682.0|0|12682.0|0|228.0|0|0.0|100
0|2021-11-16|12691.0|0|12691.0|0|228.0|0|0.0|100
0|2021-11-17|12729.0|0|12729.0|0|228.0|0|0.0|100
0|2021-11-18|12760.0|0|12760.0|0|228.0|0|0.0|100
0|2021-11-19|12776.0|0|12776.0|0|229.0|0|0.0|100
0|2021-11-20|12776.0|0|12776.0|0|229.0|0|0.0|100
0|2021-11-21|12776.0|0|12776.0|0|229.0|0|0.0|100
0|2021-11-22|12811.0|0|12811.0|0|231.0|0|0.0|100
0|2021-11-23|12818.0|0|12818.0|0|232.0|0|0.0|100
0|2021-11-24|12859.0|0|12854.0|0|233.0|0|0.0|100
0|2021-11-25|12854.0|0|12854.0|0|233.0|0|0.0|100
0|2021-11-26|12854.0|0|12860.0|0|233.0|0|0.0|100
0|2021-11-27|12862.0|0|12860.0|0|235.0|0|0.0|100
0|2021-11-28|12862.0|0|12860.0|0|235.0|0|0.0|100
0|2021-11-29|12886.0|0|12886.0|0|235.0|0|0.0|100
0|2021-11-30|12886.0|0|12886.0|0|235.0|0|0.0|100
0|2021-12-01|12901.0|0|12901.0|0|237.0|0|0.0|100
0|2021-12-02|12938.0|0|12938.0|0|237.0|0|0.0|100
0|2021-12-03|12961.0|0|12961.0|0|237.0|0|0.0|100
0|2021-12-04|12961.0|0|12961.0|0|237.0|0|0.0|100
0|2021-12-05|12961.0|0|12961.0|0|237.0|0|0.0|100
0|2021-12-06|13013.0|0|13013.0|0|237.0|0|0.0|100
0|2021-12-07|13022.0|0|13022.0|0|237.0|0|0.0|100
0|2021-12-08|13032.0|0|13032.0|0|237.0|0|0.0|100
0|2021-12-09|13062.0|0|13062.0|0|237.0|0|0.0|100
0|2021-12-10|13095.0|0|13095.0|0|237.0|0|0.0|100
0|2021-12-11|13095.0|0|13095.0|0|237.0|0|0.0|100
0|2021-12-12|13095.0|0|13095.0|0|237.0|0|0.0|100
0|2021-12-13|13134.0|0|13134.0|0|237.0|0|0.0|100
0|2021-12-14|13134.0|0|13137.0|0|237.0|0|0.0|100
0|2021-12-15|13156.0|0|13156.0|0|237.0|0|0.0|100
0|2021-12-16|13170.0|0|13170.0|0|238.0|0|0.0|100
0|2021-12-17|13195.0|0|13195.0|0|239.0|0|0.0|100
0|2021-12-18|13195.0|0|13195.0|0|239.0|0|0.0|100
0|2021-12-19|13195.0|0|13195.0|0|239.0|0|0.0|100
0|2021-12-20|13264.0|0|13264.0|0|239.0|0|0.0|100
0|2021-12-21|13267.0|0|13267.0|0|240.0|0|0.0|100
0|2021-12-22|13301.0|0|13301.0|0|240.0|0|0.0|100
0|2021-12-23|13365.0|0|13365.0|0|240.0|0|0.0|100
0|2021-12-24|13365.0|0|13365.0|0|240.0|0|0.0|100
0|2021-12-25|13365.0|0|13365.0|0|240.0|0|0.0|100
0|2021-12-26|13365.0|0|13365.0|0|240.0|0|0.0|100
0|2021-12-27|13365.0|0|13365.0|0|240.0|0|0.0|100
0|2021-12-28|13365.0|0|13365.0|0|240.0|0|0.0|100
0|2021-12-29|13573.0|0|13573.0|0|240.0|0|0.0|100
0|2021-12-30|13616.0|0|13616.0|0|240.0|0|0.0|100
0|2021-12-31|13726.0|0|13726.0|0|242.0|0|0.0|100
0|2022-01-01|13726.0|0|13726.0|0|242.0|0|0.0|100
0|2022-01-02|13726.0|0|13726.0|0|242.0|0|0.0|100
0|2022-01-03|13726.0|0|13726.0|0|242.0|0|0.0|100
0|2022-01-04|14227.0|0|14227.0|0|243.0|0|0.0|100
0|2022-01-05|14313.0|0|14313.0|0|245.0|0|0.0|100
0|2022-01-06|14600.0|0|14600.0|0|245.0|0|0.0|100
0|2022-01-07|14769.0|0|14769.0|0|245.0|0|0.0|100
0|2022-01-08|14769.0|0|14769.0|0|245.0|0|0.0|100
0|2022-01-09|14769.0|0|14769.0|0|245.0|0|0.0|100
0|2022-01-10|15570.0|0|15570.0|0|246.0|0|0.0|100
0|2022-01-11|15710.0|0|15710.0|0|246.0|0|0.0|100
0|2022-01-12|15933.0|0|15933.0|0|246.0|0|0.0|100
0|2022-01-13|15933.0|0|16147.0|0|246.0|0|0.0|100
0|2022-01-14|16456.0|0|16456.0|0|248.0|0|0.0|100
0|2022-01-15|16456.0|0|16456.0|0|248.0|0|0.0|100
0|2022-01-16|16456.0|0|16456.0|0|248.0|0|0.0|100
0|2022-01-17|16456.0|0|0.0|100|248.0|0|0.0|100
