|dates|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Niobrara_Wyoming_UnitedStates.NYT_ConfirmedCases.data|Niobrara_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|356.0|0|356.0|0|5.0|0|0.0|100
0|2021-10-18|357.0|0|357.0|0|5.0|0|0.0|100
0|2021-10-19|366.0|0|366.0|0|5.0|0|0.0|100
0|2021-10-20|369.0|0|369.0|0|5.0|0|0.0|100
0|2021-10-21|373.0|0|373.0|0|5.0|0|0.0|100
0|2021-10-22|373.0|0|373.0|0|5.0|0|0.0|100
0|2021-10-23|373.0|0|373.0|0|5.0|0|0.0|100
0|2021-10-24|373.0|0|373.0|0|5.0|0|0.0|100
0|2021-10-25|379.0|0|379.0|0|5.0|0|0.0|100
0|2021-10-26|380.0|0|380.0|0|5.0|0|0.0|100
0|2021-10-27|384.0|0|384.0|0|5.0|0|0.0|100
0|2021-10-28|388.0|0|388.0|0|5.0|0|0.0|100
0|2021-10-29|391.0|0|391.0|0|5.0|0|0.0|100
0|2021-10-30|391.0|0|391.0|0|5.0|0|0.0|100
0|2021-10-31|391.0|0|391.0|0|5.0|0|0.0|100
0|2021-11-01|393.0|0|393.0|0|5.0|0|0.0|100
0|2021-11-02|394.0|0|394.0|0|5.0|0|0.0|100
0|2021-11-03|401.0|0|401.0|0|5.0|0|0.0|100
0|2021-11-04|411.0|0|411.0|0|5.0|0|0.0|100
0|2021-11-05|410.0|0|410.0|0|5.0|0|0.0|100
0|2021-11-06|410.0|0|410.0|0|5.0|0|0.0|100
0|2021-11-07|410.0|0|410.0|0|5.0|0|0.0|100
0|2021-11-08|411.0|0|411.0|0|5.0|0|0.0|100
0|2021-11-09|417.0|0|417.0|0|7.0|0|0.0|100
0|2021-11-10|423.0|0|423.0|0|7.0|0|0.0|100
0|2021-11-11|423.0|0|423.0|0|7.0|0|0.0|100
0|2021-11-12|448.0|0|448.0|0|7.0|0|0.0|100
0|2021-11-13|448.0|0|448.0|0|7.0|0|0.0|100
0|2021-11-14|448.0|0|448.0|0|7.0|0|0.0|100
0|2021-11-15|449.0|0|449.0|0|7.0|0|0.0|100
0|2021-11-16|451.0|0|451.0|0|7.0|0|0.0|100
0|2021-11-17|452.0|0|452.0|0|7.0|0|0.0|100
0|2021-11-18|472.0|0|472.0|0|7.0|0|0.0|100
0|2021-11-19|472.0|0|472.0|0|7.0|0|0.0|100
0|2021-11-20|472.0|0|472.0|0|7.0|0|0.0|100
0|2021-11-21|472.0|0|472.0|0|7.0|0|0.0|100
