|dates|Aguada_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|Aguada_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|Aguada_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|Aguada_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|Aguada_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|Aguada_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|Aguada_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|Aguada_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-02|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-03|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-04|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-05|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-06|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-07|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-08|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-09|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-10|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-11|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-12|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-13|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-14|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-15|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-16|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-17|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-18|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-19|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-20|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-21|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-22|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-23|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-24|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
0|2020-01-25|10061.5|0|1322.0|0|11.613299951684455|0|11383.5|0
