|dates|Washington_Alabama_UnitedStates.JHU_ConfirmedCases.data|Washington_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Washington_Alabama_UnitedStates.NYT_ConfirmedCases.data|Washington_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Washington_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2511.0|0|2511.0|0|51.0|0|0.0|100
0|2021-10-18|2511.0|0|2511.0|0|51.0|0|0.0|100
0|2021-10-19|2511.0|0|2511.0|0|51.0|0|0.0|100
0|2021-10-20|2511.0|0|2511.0|0|51.0|0|0.0|100
0|2021-10-21|2513.0|0|2513.0|0|51.0|0|0.0|100
0|2021-10-22|2513.0|0|2513.0|0|51.0|0|0.0|100
0|2021-10-23|2515.0|0|2515.0|0|51.0|0|0.0|100
0|2021-10-24|2516.0|0|2516.0|0|51.0|0|0.0|100
0|2021-10-25|2516.0|0|2516.0|0|51.0|0|0.0|100
0|2021-10-26|2516.0|0|2516.0|0|51.0|0|0.0|100
0|2021-10-27|2519.0|0|2519.0|0|51.0|0|0.0|100
0|2021-10-28|2520.0|0|2520.0|0|51.0|0|0.0|100
0|2021-10-29|2522.0|0|2522.0|0|52.0|0|0.0|100
0|2021-10-30|2525.0|0|2525.0|0|52.0|0|0.0|100
0|2021-10-31|2526.0|0|2526.0|0|52.0|0|0.0|100
0|2021-11-01|2526.0|0|2526.0|0|52.0|0|0.0|100
0|2021-11-02|2528.0|0|2528.0|0|52.0|0|0.0|100
0|2021-11-03|2531.0|0|2531.0|0|52.0|0|0.0|100
0|2021-11-04|2544.0|0|2544.0|0|52.0|0|0.0|100
0|2021-11-05|2546.0|0|2546.0|0|52.0|0|0.0|100
0|2021-11-06|2548.0|0|2548.0|0|52.0|0|0.0|100
0|2021-11-07|2548.0|0|2548.0|0|52.0|0|0.0|100
0|2021-11-08|2548.0|0|2548.0|0|52.0|0|0.0|100
0|2021-11-09|2547.0|0|2547.0|0|52.0|0|0.0|100
0|2021-11-10|2547.0|0|2548.0|0|52.0|0|0.0|100
0|2021-11-11|2550.0|0|2550.0|0|52.0|0|0.0|100
0|2021-11-12|2550.0|0|2550.0|0|52.0|0|0.0|100
0|2021-11-13|2551.0|0|2551.0|0|52.0|0|0.0|100
0|2021-11-14|2551.0|0|2551.0|0|52.0|0|0.0|100
0|2021-11-15|2551.0|0|2551.0|0|52.0|0|0.0|100
0|2021-11-16|2552.0|0|2552.0|0|52.0|0|0.0|100
0|2021-11-17|2555.0|0|2555.0|0|52.0|0|0.0|100
0|2021-11-18|2556.0|0|2556.0|0|52.0|0|0.0|100
0|2021-11-19|2558.0|0|2558.0|0|52.0|0|0.0|100
0|2021-11-20|2561.0|0|2561.0|0|52.0|0|0.0|100
0|2021-11-21|2562.0|0|2562.0|0|52.0|0|0.0|100
0|2021-11-22|2563.0|0|2563.0|0|52.0|0|0.0|100
0|2021-11-23|2563.0|0|2563.0|0|52.0|0|0.0|100
0|2021-11-24|2564.0|0|2564.0|0|52.0|0|0.0|100
0|2021-11-25|2569.0|0|2569.0|0|52.0|0|0.0|100
0|2021-11-26|2569.0|0|2569.0|0|52.0|0|0.0|100
0|2021-11-27|2569.0|0|2569.0|0|52.0|0|0.0|100
0|2021-11-28|2570.0|0|2570.0|0|52.0|0|0.0|100
0|2021-11-29|2570.0|0|2570.0|0|52.0|0|0.0|100
0|2021-11-30|2570.0|0|2569.0|0|52.0|0|0.0|100
0|2021-12-01|2569.0|0|2569.0|0|52.0|0|0.0|100
0|2021-12-02|2568.0|0|2568.0|0|52.0|0|0.0|100
0|2021-12-03|2568.0|0|2568.0|0|52.0|0|0.0|100
0|2021-12-04|2568.0|0|2568.0|0|52.0|0|0.0|100
0|2021-12-05|2568.0|0|2568.0|0|52.0|0|0.0|100
0|2021-12-06|2568.0|0|2568.0|0|52.0|0|0.0|100
0|2021-12-07|2569.0|0|2569.0|0|52.0|0|0.0|100
0|2021-12-08|2575.0|0|2575.0|0|52.0|0|0.0|100
0|2021-12-09|2576.0|0|2576.0|0|52.0|0|0.0|100
0|2021-12-10|2575.0|0|2575.0|0|51.0|0|0.0|100
0|2021-12-11|2575.0|0|2575.0|0|51.0|0|0.0|100
0|2021-12-12|2575.0|0|2575.0|0|51.0|0|0.0|100
0|2021-12-13|2575.0|0|2575.0|0|51.0|0|0.0|100
0|2021-12-14|2575.0|0|2575.0|0|51.0|0|0.0|100
0|2021-12-15|2575.0|0|2575.0|0|51.0|0|0.0|100
0|2021-12-16|2576.0|0|2576.0|0|51.0|0|0.0|100
0|2021-12-17|2576.0|0|2576.0|0|51.0|0|0.0|100
0|2021-12-18|2576.0|0|2576.0|0|51.0|0|0.0|100
0|2021-12-19|2576.0|0|2576.0|0|51.0|0|0.0|100
0|2021-12-20|2576.0|0|2576.0|0|51.0|0|0.0|100
0|2021-12-21|2578.0|0|2578.0|0|51.0|0|0.0|100
0|2021-12-22|2581.0|0|2581.0|0|51.0|0|0.0|100
0|2021-12-23|2583.0|0|2583.0|0|51.0|0|0.0|100
0|2021-12-24|2584.0|0|2584.0|0|51.0|0|0.0|100
0|2021-12-25|2585.0|0|2585.0|0|51.0|0|0.0|100
0|2021-12-26|2587.0|0|2587.0|0|51.0|0|0.0|100
0|2021-12-27|2592.0|0|2592.0|0|51.0|0|0.0|100
0|2021-12-28|2595.0|0|2595.0|0|51.0|0|0.0|100
0|2021-12-29|2601.0|0|2601.0|0|51.0|0|0.0|100
0|2021-12-30|2607.0|0|2607.0|0|51.0|0|0.0|100
0|2021-12-31|2616.0|0|2616.0|0|51.0|0|0.0|100
0|2022-01-01|2616.0|0|2616.0|0|51.0|0|0.0|100
0|2022-01-02|2632.0|0|2632.0|0|51.0|0|0.0|100
0|2022-01-03|2637.0|0|2637.0|0|51.0|0|0.0|100
