|dates|Treasure_Montana_UnitedStates.JHU_ConfirmedCases.data|Treasure_Montana_UnitedStates.JHU_ConfirmedCases.missing|Treasure_Montana_UnitedStates.NYT_ConfirmedCases.data|Treasure_Montana_UnitedStates.NYT_ConfirmedCases.missing|Treasure_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Treasure_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Treasure_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Treasure_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|81.0|0|81.0|0|1.0|0|0.0|100
0|2021-10-18|81.0|0|81.0|0|1.0|0|0.0|100
0|2021-10-19|81.0|0|81.0|0|1.0|0|0.0|100
0|2021-10-20|82.0|0|82.0|0|1.0|0|0.0|100
0|2021-10-21|82.0|0|82.0|0|1.0|0|0.0|100
0|2021-10-22|82.0|0|82.0|0|1.0|0|0.0|100
0|2021-10-23|82.0|0|82.0|0|1.0|0|0.0|100
0|2021-10-24|82.0|0|82.0|0|1.0|0|0.0|100
0|2021-10-25|85.0|0|85.0|0|1.0|0|0.0|100
0|2021-10-26|86.0|0|86.0|0|1.0|0|0.0|100
0|2021-10-27|88.0|0|88.0|0|1.0|0|0.0|100
0|2021-10-28|88.0|0|88.0|0|1.0|0|0.0|100
0|2021-10-29|88.0|0|88.0|0|1.0|0|0.0|100
0|2021-10-30|88.0|0|88.0|0|1.0|0|0.0|100
0|2021-10-31|88.0|0|88.0|0|1.0|0|0.0|100
0|2021-11-01|89.0|0|89.0|0|1.0|0|0.0|100
0|2021-11-02|90.0|0|90.0|0|1.0|0|0.0|100
0|2021-11-03|90.0|0|90.0|0|1.0|0|0.0|100
0|2021-11-04|94.0|0|94.0|0|1.0|0|0.0|100
0|2021-11-05|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-06|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-07|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-08|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-09|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-10|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-11|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-12|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-13|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-14|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-15|95.0|0|95.0|0|1.0|0|0.0|100
0|2021-11-16|99.0|0|99.0|0|1.0|0|0.0|100
0|2021-11-17|99.0|0|99.0|0|1.0|0|0.0|100
0|2021-11-18|101.0|0|101.0|0|1.0|0|0.0|100
0|2021-11-19|101.0|0|101.0|0|1.0|0|0.0|100
0|2021-11-20|101.0|0|101.0|0|1.0|0|0.0|100
0|2021-11-21|101.0|0|101.0|0|1.0|0|0.0|100
0|2021-11-22|101.0|0|101.0|0|1.0|0|0.0|100
0|2021-11-23|102.0|0|102.0|0|1.0|0|0.0|100
0|2021-11-24|102.0|0|102.0|0|1.0|0|0.0|100
0|2021-11-25|102.0|0|102.0|0|1.0|0|0.0|100
0|2021-11-26|108.0|0|108.0|0|1.0|0|0.0|100
0|2021-11-27|108.0|0|108.0|0|1.0|0|0.0|100
0|2021-11-28|108.0|0|108.0|0|1.0|0|0.0|100
0|2021-11-29|109.0|0|109.0|0|1.0|0|0.0|100
0|2021-11-30|109.0|0|109.0|0|1.0|0|0.0|100
0|2021-12-01|114.0|0|114.0|0|1.0|0|0.0|100
0|2021-12-02|114.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-03|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-04|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-05|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-06|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-07|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-08|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-09|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-10|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-11|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-12|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-13|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-14|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-15|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-16|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-17|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-18|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-19|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-20|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-21|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-22|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-23|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-24|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-25|115.0|0|115.0|0|1.0|0|0.0|100
0|2021-12-26|115.0|0|115.0|0|1.0|0|0.0|100
