|dates|Gregory_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Gregory_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Gregory_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Gregory_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Gregory_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Gregory_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Gregory_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Gregory_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|691.0|0|691.0|0|30.0|0|0.0|100
0|2021-10-18|691.0|0|691.0|0|30.0|0|0.0|100
0|2021-10-19|691.0|0|693.0|0|30.0|0|0.0|100
0|2021-10-20|693.0|0|693.0|0|30.0|0|0.0|100
0|2021-10-21|696.0|0|696.0|0|30.0|0|0.0|100
0|2021-10-22|700.0|0|700.0|0|30.0|0|0.0|100
0|2021-10-23|700.0|0|700.0|0|30.0|0|0.0|100
0|2021-10-24|700.0|0|700.0|0|30.0|0|0.0|100
0|2021-10-25|701.0|0|701.0|0|30.0|0|0.0|100
0|2021-10-26|706.0|0|706.0|0|30.0|0|0.0|100
0|2021-10-27|710.0|0|710.0|0|30.0|0|0.0|100
0|2021-10-28|710.0|0|710.0|0|30.0|0|0.0|100
0|2021-10-29|713.0|0|713.0|0|30.0|0|0.0|100
0|2021-10-30|713.0|0|713.0|0|30.0|0|0.0|100
0|2021-10-31|713.0|0|713.0|0|30.0|0|0.0|100
0|2021-11-01|715.0|0|715.0|0|30.0|0|0.0|100
0|2021-11-02|723.0|0|723.0|0|30.0|0|0.0|100
0|2021-11-03|725.0|0|725.0|0|30.0|0|0.0|100
0|2021-11-04|726.0|0|726.0|0|30.0|0|0.0|100
0|2021-11-05|727.0|0|727.0|0|30.0|0|0.0|100
0|2021-11-06|727.0|0|727.0|0|30.0|0|0.0|100
0|2021-11-07|727.0|0|727.0|0|30.0|0|0.0|100
0|2021-11-08|728.0|0|728.0|0|30.0|0|0.0|100
0|2021-11-09|731.0|0|731.0|0|30.0|0|0.0|100
0|2021-11-10|735.0|0|735.0|0|30.0|0|0.0|100
0|2021-11-11|735.0|0|735.0|0|30.0|0|0.0|100
0|2021-11-12|738.0|0|738.0|0|30.0|0|0.0|100
0|2021-11-13|738.0|0|738.0|0|30.0|0|0.0|100
0|2021-11-14|738.0|0|738.0|0|30.0|0|0.0|100
0|2021-11-15|741.0|0|741.0|0|30.0|0|0.0|100
0|2021-11-16|747.0|0|747.0|0|30.0|0|0.0|100
0|2021-11-17|749.0|0|749.0|0|30.0|0|0.0|100
0|2021-11-18|752.0|0|752.0|0|30.0|0|0.0|100
0|2021-11-19|755.0|0|755.0|0|30.0|0|0.0|100
0|2021-11-20|755.0|0|755.0|0|30.0|0|0.0|100
0|2021-11-21|755.0|0|755.0|0|30.0|0|0.0|100
0|2021-11-22|756.0|0|756.0|0|30.0|0|0.0|100
0|2021-11-23|759.0|0|759.0|0|30.0|0|0.0|100
0|2021-11-24|764.0|0|764.0|0|31.0|0|0.0|100
0|2021-11-25|764.0|0|764.0|0|31.0|0|0.0|100
0|2021-11-26|764.0|0|764.0|0|31.0|0|0.0|100
0|2021-11-27|764.0|0|764.0|0|31.0|0|0.0|100
0|2021-11-28|764.0|0|764.0|0|31.0|0|0.0|100
0|2021-11-29|768.0|0|768.0|0|31.0|0|0.0|100
0|2021-11-30|779.0|0|779.0|0|31.0|0|0.0|100
0|2021-12-01|782.0|0|782.0|0|31.0|0|0.0|100
