|dates|Aiken_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Aiken_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Aiken_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Aiken_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Aiken_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Aiken_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Aiken_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Aiken_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|26575.0|0|26575.0|0|324.0|0|0.0|100
0|2021-10-18|26672.0|0|26672.0|0|327.0|0|0.0|100
0|2021-10-19|26680.0|0|26680.0|0|327.0|0|0.0|100
0|2021-10-20|26767.0|0|26767.0|0|331.0|0|0.0|100
0|2021-10-21|26785.0|0|26785.0|0|332.0|0|0.0|100
0|2021-10-22|26801.0|0|26801.0|0|336.0|0|0.0|100
0|2021-10-23|26801.0|0|26801.0|0|336.0|0|0.0|100
0|2021-10-24|26801.0|0|26801.0|0|336.0|0|0.0|100
0|2021-10-25|26837.0|0|26837.0|0|336.0|0|0.0|100
0|2021-10-26|26856.0|0|26856.0|0|336.0|0|0.0|100
0|2021-10-27|26867.0|0|26867.0|0|336.0|0|0.0|100
0|2021-10-28|26880.0|0|26880.0|0|339.0|0|0.0|100
0|2021-10-29|26928.0|0|26928.0|0|343.0|0|0.0|100
0|2021-10-30|26928.0|0|26928.0|0|343.0|0|0.0|100
0|2021-10-31|26928.0|0|26928.0|0|343.0|0|0.0|100
0|2021-11-01|26978.0|0|26978.0|0|345.0|0|0.0|100
0|2021-11-02|26990.0|0|26990.0|0|345.0|0|0.0|100
0|2021-11-03|27009.0|0|27009.0|0|347.0|0|0.0|100
0|2021-11-04|27025.0|0|27025.0|0|347.0|0|0.0|100
0|2021-11-05|27048.0|0|27048.0|0|347.0|0|0.0|100
0|2021-11-06|27048.0|0|27048.0|0|347.0|0|0.0|100
0|2021-11-07|27048.0|0|27048.0|0|347.0|0|0.0|100
0|2021-11-08|27090.0|0|27090.0|0|347.0|0|0.0|100
0|2021-11-09|27094.0|0|27094.0|0|347.0|0|0.0|100
0|2021-11-10|27136.0|0|27136.0|0|348.0|0|0.0|100
0|2021-11-11|27136.0|0|27136.0|0|348.0|0|0.0|100
0|2021-11-12|27178.0|0|27178.0|0|349.0|0|0.0|100
0|2021-11-13|27178.0|0|27178.0|0|349.0|0|0.0|100
0|2021-11-14|27178.0|0|27178.0|0|349.0|0|0.0|100
0|2021-11-15|27234.0|0|27234.0|0|352.0|0|0.0|100
0|2021-11-16|27240.0|0|27240.0|0|352.0|0|0.0|100
0|2021-11-17|27276.0|0|27276.0|0|354.0|0|0.0|100
0|2021-11-18|27288.0|0|27288.0|0|354.0|0|0.0|100
0|2021-11-19|27307.0|0|27307.0|0|354.0|0|0.0|100
0|2021-11-20|27307.0|0|27307.0|0|354.0|0|0.0|100
0|2021-11-21|27307.0|0|27307.0|0|354.0|0|0.0|100
0|2021-11-22|27385.0|0|27385.0|0|355.0|0|0.0|100
0|2021-11-23|27396.0|0|27396.0|0|355.0|0|0.0|100
0|2021-11-24|27437.0|0|27437.0|0|355.0|0|0.0|100
0|2021-11-25|27437.0|0|27437.0|0|355.0|0|0.0|100
0|2021-11-26|27477.0|0|27477.0|0|356.0|0|0.0|100
0|2021-11-27|27477.0|0|27477.0|0|356.0|0|0.0|100
0|2021-11-28|27477.0|0|27477.0|0|356.0|0|0.0|100
