|dates|Minnehaha_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Minnehaha_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Minnehaha_SouthDakota_UnitedStates.Male_Total_Population.data|Minnehaha_SouthDakota_UnitedStates.Male_Total_Population.missing|Minnehaha_SouthDakota_UnitedStates.Female_Total_Population.data|Minnehaha_SouthDakota_UnitedStates.Female_Total_Population.missing|Minnehaha_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Minnehaha_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-18|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-19|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-20|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-21|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-22|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-23|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-24|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-25|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-26|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-27|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-28|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-29|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-30|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-10-31|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-01|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-02|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-03|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-04|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-05|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-06|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-07|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-08|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-09|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-10|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-11|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-12|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-13|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-14|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-15|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-16|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-17|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-18|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-19|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-20|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-21|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-22|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-23|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-24|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-25|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-26|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-27|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-28|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-29|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-11-30|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-01|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-02|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-03|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-04|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-05|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-06|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-07|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-08|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-09|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-10|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-11|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-12|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-13|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-14|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-15|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-16|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-17|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-18|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-19|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-20|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-21|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-22|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-23|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-24|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-25|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-26|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-27|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-28|25229.0|0|97356.0|0|95520.0|0|49051.0|0
0|2021-12-29|25229.0|0|97356.0|0|95520.0|0|49051.0|0
