|dates|Hays_Texas_UnitedStates.BLS_EmployedPopulation.data|Hays_Texas_UnitedStates.BLS_EmployedPopulation.missing|Hays_Texas_UnitedStates.BLS_UnemployedPopulation.data|Hays_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Hays_Texas_UnitedStates.BLS_UnemploymentRate.data|Hays_Texas_UnitedStates.BLS_UnemploymentRate.missing|Hays_Texas_UnitedStates.BLS_LaborForcePopulation.data|Hays_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-18|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-19|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-20|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-21|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-22|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-23|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-24|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-25|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-26|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-27|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-28|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-29|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-30|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-10-31|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-11-01|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-11-02|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-11-03|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
0|2021-11-04|118704.0|0|5342.0|0|4.306466955806717|0|124046.0|0
