|dates|Jackson_Kansas_UnitedStates.JHU_ConfirmedCases.data|Jackson_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Kansas_UnitedStates.NYT_ConfirmedCases.data|Jackson_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1936.0|0|1936.0|0|19.0|0|0.0|100
0|2021-10-18|1941.0|0|1941.0|0|19.0|0|0.0|100
0|2021-10-19|1941.0|0|1941.0|0|19.0|0|0.0|100
0|2021-10-20|1959.0|0|1959.0|0|19.0|0|0.0|100
0|2021-10-21|1959.0|0|1959.0|0|19.0|0|0.0|100
0|2021-10-22|1970.0|0|1970.0|0|19.0|0|0.0|100
0|2021-10-23|1970.0|0|1970.0|0|19.0|0|0.0|100
0|2021-10-24|1970.0|0|1970.0|0|19.0|0|0.0|100
0|2021-10-25|1987.0|0|1987.0|0|19.0|0|0.0|100
0|2021-10-26|1987.0|0|1987.0|0|19.0|0|0.0|100
0|2021-10-27|2029.0|0|2029.0|0|19.0|0|0.0|100
0|2021-10-28|2029.0|0|2029.0|0|19.0|0|0.0|100
0|2021-10-29|2051.0|0|2051.0|0|19.0|0|0.0|100
0|2021-10-30|2051.0|0|2051.0|0|19.0|0|0.0|100
0|2021-10-31|2051.0|0|2051.0|0|19.0|0|0.0|100
0|2021-11-01|2068.0|0|2068.0|0|19.0|0|0.0|100
0|2021-11-02|2068.0|0|2068.0|0|19.0|0|0.0|100
0|2021-11-03|2098.0|0|2098.0|0|19.0|0|0.0|100
0|2021-11-04|2098.0|0|2098.0|0|19.0|0|0.0|100
0|2021-11-05|2129.0|0|2129.0|0|19.0|0|0.0|100
0|2021-11-06|2129.0|0|2129.0|0|19.0|0|0.0|100
0|2021-11-07|2129.0|0|2129.0|0|19.0|0|0.0|100
0|2021-11-08|2151.0|0|2151.0|0|19.0|0|0.0|100
0|2021-11-09|2151.0|0|2151.0|0|19.0|0|0.0|100
0|2021-11-10|2151.0|0|2181.0|0|19.0|0|0.0|100
0|2021-11-11|2181.0|0|2181.0|0|20.0|0|0.0|100
0|2021-11-12|2198.0|0|2198.0|0|20.0|0|0.0|100
0|2021-11-13|2198.0|0|2198.0|0|20.0|0|0.0|100
0|2021-11-14|2198.0|0|2198.0|0|20.0|0|0.0|100
0|2021-11-15|2220.0|0|2220.0|0|20.0|0|0.0|100
0|2021-11-16|2220.0|0|2220.0|0|20.0|0|0.0|100
0|2021-11-17|2245.0|0|2245.0|0|20.0|0|0.0|100
0|2021-11-18|2245.0|0|2245.0|0|20.0|0|0.0|100
0|2021-11-19|2266.0|0|2266.0|0|20.0|0|0.0|100
0|2021-11-20|2266.0|0|2266.0|0|20.0|0|0.0|100
0|2021-11-21|2266.0|0|2266.0|0|20.0|0|0.0|100
0|2021-11-22|2283.0|0|2283.0|0|20.0|0|0.0|100
0|2021-11-23|2283.0|0|2283.0|0|20.0|0|0.0|100
0|2021-11-24|2283.0|0|2305.0|0|20.0|0|0.0|100
0|2021-11-25|2305.0|0|2305.0|0|20.0|0|0.0|100
0|2021-11-26|2305.0|0|2305.0|0|20.0|0|0.0|100
0|2021-11-27|2305.0|0|2305.0|0|20.0|0|0.0|100
0|2021-11-28|2305.0|0|2305.0|0|20.0|0|0.0|100
0|2021-11-29|2331.0|0|2331.0|0|20.0|0|0.0|100
0|2021-11-30|2331.0|0|2331.0|0|20.0|0|0.0|100
0|2021-12-01|2361.0|0|2361.0|0|20.0|0|0.0|100
0|2021-12-02|2361.0|0|2361.0|0|20.0|0|0.0|100
0|2021-12-03|2361.0|0|2410.0|0|20.0|0|0.0|100
0|2021-12-04|2410.0|0|2410.0|0|20.0|0|0.0|100
0|2021-12-05|2410.0|0|2410.0|0|20.0|0|0.0|100
0|2021-12-06|2429.0|0|2429.0|0|20.0|0|0.0|100
0|2021-12-07|2429.0|0|2429.0|0|20.0|0|0.0|100
0|2021-12-08|2468.0|0|2468.0|0|20.0|0|0.0|100
0|2021-12-09|2468.0|0|2468.0|0|20.0|0|0.0|100
0|2021-12-10|2495.0|0|2495.0|0|20.0|0|0.0|100
0|2021-12-11|2495.0|0|2495.0|0|20.0|0|0.0|100
0|2021-12-12|2495.0|0|2495.0|0|20.0|0|0.0|100
0|2021-12-13|2508.0|0|2508.0|0|20.0|0|0.0|100
0|2021-12-14|2508.0|0|2508.0|0|20.0|0|0.0|100
0|2021-12-15|2538.0|0|2538.0|0|20.0|0|0.0|100
0|2021-12-16|2538.0|0|2538.0|0|20.0|0|0.0|100
0|2021-12-17|2564.0|0|2564.0|0|20.0|0|0.0|100
0|2021-12-18|2564.0|0|2564.0|0|20.0|0|0.0|100
0|2021-12-19|2564.0|0|2564.0|0|20.0|0|0.0|100
0|2021-12-20|2575.0|0|2575.0|0|20.0|0|0.0|100
0|2021-12-21|2575.0|0|2575.0|0|20.0|0|0.0|100
0|2021-12-22|2603.0|0|2603.0|0|20.0|0|0.0|100
0|2021-12-23|2603.0|0|2603.0|0|20.0|0|0.0|100
0|2021-12-24|2603.0|0|2603.0|0|20.0|0|0.0|100
0|2021-12-25|2603.0|0|2603.0|0|20.0|0|0.0|100
0|2021-12-26|2603.0|0|2603.0|0|20.0|0|0.0|100
0|2021-12-27|2632.0|0|2632.0|0|20.0|0|0.0|100
0|2021-12-28|2632.0|0|2632.0|0|20.0|0|0.0|100
0|2021-12-29|2672.0|0|2672.0|0|20.0|0|0.0|100
0|2021-12-30|2672.0|0|2672.0|0|20.0|0|0.0|100
0|2021-12-31|2672.0|0|2672.0|0|20.0|0|0.0|100
