|dates|Thayer_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Thayer_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Thayer_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Thayer_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Thayer_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Thayer_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Thayer_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Thayer_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|680.0|0|680.0|0|4.0|0|0.0|100
0|2021-10-18|684.0|0|684.0|0|4.0|0|0.0|100
0|2021-10-19|689.0|0|689.0|0|4.0|0|0.0|100
0|2021-10-20|694.0|0|694.0|0|4.0|0|0.0|100
0|2021-10-21|696.0|0|696.0|0|4.0|0|0.0|100
0|2021-10-22|696.0|0|696.0|0|4.0|0|0.0|100
0|2021-10-23|696.0|0|696.0|0|4.0|0|0.0|100
0|2021-10-24|696.0|0|696.0|0|4.0|0|0.0|100
0|2021-10-25|696.0|0|696.0|0|4.0|0|0.0|100
0|2021-10-26|696.0|0|696.0|0|4.0|0|0.0|100
0|2021-10-27|707.0|0|707.0|0|4.0|0|0.0|100
0|2021-10-28|707.0|0|707.0|0|4.0|0|0.0|100
0|2021-10-29|707.0|0|709.0|0|4.0|0|0.0|100
0|2021-10-30|707.0|0|709.0|0|4.0|0|0.0|100
0|2021-10-31|707.0|0|709.0|0|4.0|0|0.0|100
0|2021-11-01|707.0|0|710.0|0|4.0|0|0.0|100
0|2021-11-02|707.0|0|710.0|0|4.0|0|0.0|100
0|2021-11-03|714.0|0|714.0|0|4.0|0|0.0|100
0|2021-11-04|714.0|0|714.0|0|4.0|0|0.0|100
0|2021-11-05|714.0|0|714.0|0|4.0|0|0.0|100
0|2021-11-06|714.0|0|714.0|0|4.0|0|0.0|100
0|2021-11-07|714.0|0|714.0|0|4.0|0|0.0|100
