|dates|Kern_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kern_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kern_California_UnitedStates.Male_Total_Population.data|Kern_California_UnitedStates.Male_Total_Population.missing|Kern_California_UnitedStates.Female_Total_Population.data|Kern_California_UnitedStates.Female_Total_Population.missing|Kern_California_UnitedStates.MaleAndFemale_Under18_Population.data|Kern_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-18|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-19|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-20|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-21|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-22|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-23|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-24|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-25|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-26|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-27|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-28|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-29|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-30|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-10-31|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-01|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-02|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-03|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-04|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-05|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-06|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-07|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-08|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-09|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-10|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-11|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-12|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-13|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-14|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-15|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-16|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-17|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-18|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-19|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-20|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-21|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-22|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-23|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-24|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-25|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-26|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-27|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-28|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-29|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-11-30|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-01|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-02|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-03|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-04|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-05|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-06|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-07|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-08|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-09|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-10|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-11|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-12|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-13|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-14|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-15|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-16|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-17|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-18|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-19|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-20|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-21|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-22|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-23|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-24|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-25|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-26|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-27|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-28|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-29|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-30|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2021-12-31|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2022-01-01|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2022-01-02|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2022-01-03|98347.0|0|459690.0|0|437074.0|0|259180.0|0
