|dates|Kenton_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Kenton_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Kenton_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Kenton_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Kenton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Kenton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Kenton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Kenton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23135.0|0|24161.0|0|243.0|0|0.0|100
0|2021-10-18|23305.0|0|24270.0|0|243.0|0|0.0|100
0|2021-10-19|23346.0|0|24390.0|0|243.0|0|0.0|100
0|2021-10-20|23423.0|0|24454.0|0|243.0|0|0.0|100
0|2021-10-21|23468.0|0|24470.0|0|251.0|0|0.0|100
0|2021-10-22|23507.0|0|24525.0|0|251.0|0|0.0|100
0|2021-10-23|23507.0|0|24525.0|0|251.0|0|0.0|100
0|2021-10-24|23507.0|0|24525.0|0|251.0|0|0.0|100
0|2021-10-25|23578.0|0|24620.0|0|254.0|0|0.0|100
0|2021-10-26|23609.0|0|24645.0|0|254.0|0|0.0|100
0|2021-10-27|23678.0|0|24705.0|0|254.0|0|0.0|100
0|2021-10-28|23737.0|0|24743.0|0|254.0|0|0.0|100
0|2021-10-29|23773.0|0|24787.0|0|263.0|0|0.0|100
0|2021-10-30|23773.0|0|24787.0|0|263.0|0|0.0|100
0|2021-10-31|23773.0|0|24787.0|0|263.0|0|0.0|100
0|2021-11-01|23880.0|0|24942.0|0|264.0|0|0.0|100
0|2021-11-02|23911.0|0|24972.0|0|264.0|0|0.0|100
0|2021-11-03|23990.0|0|25039.0|0|264.0|0|0.0|100
0|2021-11-04|24045.0|0|25086.0|0|264.0|0|0.0|100
0|2021-11-05|24090.0|0|25086.0|0|264.0|0|0.0|100
0|2021-11-06|24090.0|0|25086.0|0|264.0|0|0.0|100
0|2021-11-07|24090.0|0|25086.0|0|264.0|0|0.0|100
0|2021-11-08|24190.0|0|25231.0|0|264.0|0|0.0|100
0|2021-11-09|24256.0|0|25317.0|0|264.0|0|0.0|100
0|2021-11-10|24256.0|0|25364.0|0|264.0|0|0.0|100
0|2021-11-11|24305.0|0|25364.0|0|264.0|0|0.0|100
0|2021-11-12|24432.0|0|25532.0|0|265.0|0|0.0|100
0|2021-11-13|24432.0|0|25532.0|0|265.0|0|0.0|100
0|2021-11-14|24432.0|0|25532.0|0|265.0|0|0.0|100
0|2021-11-15|24563.0|0|25688.0|0|266.0|0|0.0|100
0|2021-11-16|24610.0|0|25738.0|0|269.0|0|0.0|100
0|2021-11-17|24697.0|0|25831.0|0|269.0|0|0.0|100
0|2021-11-18|24770.0|0|25927.0|0|269.0|0|0.0|100
0|2021-11-19|24861.0|0|26017.0|0|273.0|0|0.0|100
0|2021-11-20|24861.0|0|26017.0|0|273.0|0|0.0|100
