|dates|Colbert_Alabama_UnitedStates.JHU_ConfirmedCases.data|Colbert_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Colbert_Alabama_UnitedStates.NYT_ConfirmedCases.data|Colbert_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Colbert_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Colbert_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Colbert_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Colbert_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8791.0|0|8791.0|0|200.0|0|0.0|100
0|2021-10-18|8794.0|0|8794.0|0|200.0|0|0.0|100
0|2021-10-19|8803.0|0|8803.0|0|201.0|0|0.0|100
0|2021-10-20|8803.0|0|8803.0|0|201.0|0|0.0|100
0|2021-10-21|8826.0|0|8826.0|0|201.0|0|0.0|100
0|2021-10-22|8840.0|0|8840.0|0|201.0|0|0.0|100
0|2021-10-23|8860.0|0|8860.0|0|201.0|0|0.0|100
0|2021-10-24|8871.0|0|8871.0|0|201.0|0|0.0|100
0|2021-10-25|8877.0|0|8877.0|0|201.0|0|0.0|100
0|2021-10-26|8907.0|0|8907.0|0|201.0|0|0.0|100
0|2021-10-27|9078.0|0|9078.0|0|201.0|0|0.0|100
0|2021-10-28|9115.0|0|9115.0|0|201.0|0|0.0|100
0|2021-10-29|9122.0|0|9122.0|0|201.0|0|0.0|100
0|2021-10-30|9122.0|0|9122.0|0|202.0|0|0.0|100
0|2021-10-31|9126.0|0|9126.0|0|202.0|0|0.0|100
0|2021-11-01|9129.0|0|9129.0|0|202.0|0|0.0|100
0|2021-11-02|9142.0|0|9142.0|0|202.0|0|0.0|100
0|2021-11-03|9149.0|0|9149.0|0|203.0|0|0.0|100
0|2021-11-04|9157.0|0|9157.0|0|204.0|0|0.0|100
0|2021-11-05|9173.0|0|9173.0|0|206.0|0|0.0|100
0|2021-11-06|9185.0|0|9185.0|0|207.0|0|0.0|100
0|2021-11-07|9188.0|0|9188.0|0|207.0|0|0.0|100
0|2021-11-08|9194.0|0|9194.0|0|207.0|0|0.0|100
0|2021-11-09|9200.0|0|9200.0|0|207.0|0|0.0|100
0|2021-11-10|9200.0|0|9199.0|0|207.0|0|0.0|100
0|2021-11-11|9211.0|0|9211.0|0|206.0|0|0.0|100
0|2021-11-12|9220.0|0|9220.0|0|206.0|0|0.0|100
0|2021-11-13|9232.0|0|9232.0|0|207.0|0|0.0|100
0|2021-11-14|9233.0|0|9233.0|0|207.0|0|0.0|100
0|2021-11-15|9239.0|0|9239.0|0|207.0|0|0.0|100
0|2021-11-16|9244.0|0|9244.0|0|207.0|0|0.0|100
0|2021-11-17|9254.0|0|9254.0|0|207.0|0|0.0|100
0|2021-11-18|9263.0|0|9263.0|0|207.0|0|0.0|100
0|2021-11-19|9280.0|0|9280.0|0|207.0|0|0.0|100
0|2021-11-20|9288.0|0|9288.0|0|207.0|0|0.0|100
0|2021-11-21|9293.0|0|9293.0|0|207.0|0|0.0|100
0|2021-11-22|9297.0|0|9297.0|0|207.0|0|0.0|100
0|2021-11-23|9305.0|0|9305.0|0|207.0|0|0.0|100
0|2021-11-24|9318.0|0|9318.0|0|208.0|0|0.0|100
0|2021-11-25|9325.0|0|9325.0|0|208.0|0|0.0|100
