|dates|Sterling_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sterling_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sterling_Texas_UnitedStates.Male_Total_Population.data|Sterling_Texas_UnitedStates.Male_Total_Population.missing|Sterling_Texas_UnitedStates.Female_Total_Population.data|Sterling_Texas_UnitedStates.Female_Total_Population.missing|Sterling_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Sterling_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-20|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-21|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-22|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-23|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-24|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-25|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-26|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-27|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-28|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-29|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-30|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-10-31|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-08|189.0|0|668.0|0|643.0|0|373.0|0
