|dates|Stanton_Kansas_UnitedStates.BLS_EmployedPopulation.data|Stanton_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Stanton_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Stanton_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Stanton_Kansas_UnitedStates.BLS_UnemploymentRate.data|Stanton_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Stanton_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Stanton_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-18|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-19|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-20|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-21|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-22|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-23|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-24|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-25|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-26|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-27|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-28|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-29|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-30|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-10-31|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-01|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-02|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-03|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-04|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-05|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-06|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-07|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-08|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-09|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-10|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-11|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-12|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-13|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-14|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-15|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-16|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-17|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-18|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-19|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
0|2021-11-20|1071.0|0|20.0|0|1.833180568285976|0|1091.0|0
