|dates|Merrimack_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Merrimack_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Merrimack_NewHampshire_UnitedStates.NYT_ConfirmedCases.data|Merrimack_NewHampshire_UnitedStates.NYT_ConfirmedCases.missing|Merrimack_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Merrimack_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Merrimack_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Merrimack_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12918.0|0|12918.0|0|131.0|0|0.0|100
0|2021-10-18|13084.0|0|13084.0|0|131.0|0|0.0|100
0|2021-10-19|13128.0|0|13128.0|0|131.0|0|0.0|100
0|2021-10-20|13201.0|0|13201.0|0|131.0|0|0.0|100
0|2021-10-21|13276.0|0|13276.0|0|131.0|0|0.0|100
0|2021-10-22|13385.0|0|13385.0|0|131.0|0|0.0|100
0|2021-10-23|13385.0|0|13385.0|0|131.0|0|0.0|100
0|2021-10-24|13385.0|0|13385.0|0|131.0|0|0.0|100
0|2021-10-25|13385.0|0|13469.0|0|131.0|0|0.0|100
0|2021-10-26|13385.0|0|13469.0|0|131.0|0|0.0|100
0|2021-10-27|13471.0|0|13471.0|0|131.0|0|0.0|100
0|2021-10-28|13471.0|0|13471.0|0|131.0|0|0.0|100
0|2021-10-29|13471.0|0|13471.0|0|131.0|0|0.0|100
0|2021-10-30|13471.0|0|13471.0|0|131.0|0|0.0|100
0|2021-10-31|13471.0|0|13471.0|0|131.0|0|0.0|100
0|2021-11-01|13471.0|0|13988.0|0|131.0|0|0.0|100
0|2021-11-02|14029.0|0|14029.0|0|132.0|0|0.0|100
0|2021-11-03|14098.0|0|14098.0|0|134.0|0|0.0|100
0|2021-11-04|14185.0|0|14185.0|0|135.0|0|0.0|100
0|2021-11-05|14282.0|0|14282.0|0|135.0|0|0.0|100
0|2021-11-06|14282.0|0|14282.0|0|135.0|0|0.0|100
0|2021-11-07|14282.0|0|14282.0|0|135.0|0|0.0|100
0|2021-11-08|14495.0|0|14495.0|0|135.0|0|0.0|100
0|2021-11-09|14540.0|0|14540.0|0|137.0|0|0.0|100
0|2021-11-10|14540.0|0|14640.0|0|137.0|0|0.0|100
0|2021-11-11|14640.0|0|14640.0|0|138.0|0|0.0|100
0|2021-11-12|14889.0|0|14889.0|0|138.0|0|0.0|100
0|2021-11-13|14889.0|0|14889.0|0|138.0|0|0.0|100
0|2021-11-14|14889.0|0|14889.0|0|138.0|0|0.0|100
0|2021-11-15|15119.0|0|15119.0|0|140.0|0|0.0|100
0|2021-11-16|15202.0|0|15202.0|0|142.0|0|0.0|100
0|2021-11-17|15325.0|0|15325.0|0|142.0|0|0.0|100
0|2021-11-18|15479.0|0|15479.0|0|143.0|0|0.0|100
0|2021-11-19|15597.0|0|15597.0|0|143.0|0|0.0|100
0|2021-11-20|15597.0|0|15597.0|0|143.0|0|0.0|100
0|2021-11-21|15597.0|0|15597.0|0|143.0|0|0.0|100
0|2021-11-22|15890.0|0|15890.0|0|143.0|0|0.0|100
0|2021-11-23|15964.0|0|15964.0|0|143.0|0|0.0|100
0|2021-11-24|16127.0|0|16127.0|0|143.0|0|0.0|100
0|2021-11-25|16127.0|0|16127.0|0|143.0|0|0.0|100
0|2021-11-26|16127.0|0|16127.0|0|143.0|0|0.0|100
0|2021-11-27|16127.0|0|16127.0|0|143.0|0|0.0|100
