|dates|Robertson_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Robertson_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Robertson_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Robertson_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Robertson_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Robertson_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Robertson_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Robertson_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-18|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-19|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-20|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-21|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-22|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-23|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-24|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-25|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-26|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-27|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-28|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-29|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-30|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-10-31|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-11-01|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-11-02|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-11-03|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-11-04|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-11-05|749.0|0|27.0|0|3.479381443298969|0|776.0|0
0|2021-11-06|749.0|0|27.0|0|3.479381443298969|0|776.0|0
