|dates|Douglas_Missouri_UnitedStates.JHU_ConfirmedCases.data|Douglas_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Missouri_UnitedStates.NYT_ConfirmedCases.data|Douglas_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Douglas_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1620.0|0|1620.0|0|45.0|0|0.0|100
0|2021-10-18|1620.0|0|1620.0|0|45.0|0|0.0|100
0|2021-10-19|1621.0|0|1621.0|0|46.0|0|0.0|100
0|2021-10-20|1624.0|0|1624.0|0|46.0|0|0.0|100
0|2021-10-21|1627.0|0|1627.0|0|46.0|0|0.0|100
0|2021-10-22|1627.0|0|1627.0|0|46.0|0|0.0|100
0|2021-10-23|1628.0|0|1628.0|0|46.0|0|0.0|100
0|2021-10-24|1629.0|0|1629.0|0|46.0|0|0.0|100
0|2021-10-25|1629.0|0|1629.0|0|46.0|0|0.0|100
0|2021-10-26|1629.0|0|1629.0|0|46.0|0|0.0|100
0|2021-10-27|1632.0|0|1632.0|0|46.0|0|0.0|100
0|2021-10-28|1636.0|0|1636.0|0|46.0|0|0.0|100
0|2021-10-29|1641.0|0|1641.0|0|46.0|0|0.0|100
0|2021-10-30|1645.0|0|1645.0|0|46.0|0|0.0|100
0|2021-10-31|1645.0|0|1645.0|0|46.0|0|0.0|100
0|2021-11-01|1646.0|0|1646.0|0|46.0|0|0.0|100
0|2021-11-02|1648.0|0|1648.0|0|47.0|0|0.0|100
0|2021-11-03|1654.0|0|1654.0|0|47.0|0|0.0|100
0|2021-11-04|1656.0|0|1656.0|0|47.0|0|0.0|100
0|2021-11-05|1656.0|0|1656.0|0|47.0|0|0.0|100
0|2021-11-06|1660.0|0|1660.0|0|47.0|0|0.0|100
0|2021-11-07|1660.0|0|1660.0|0|47.0|0|0.0|100
0|2021-11-08|1661.0|0|1661.0|0|47.0|0|0.0|100
0|2021-11-09|1663.0|0|1663.0|0|47.0|0|0.0|100
0|2021-11-10|1663.0|0|1665.0|0|47.0|0|0.0|100
0|2021-11-11|1665.0|0|1665.0|0|47.0|0|0.0|100
0|2021-11-12|1667.0|0|1667.0|0|47.0|0|0.0|100
0|2021-11-13|1669.0|0|1669.0|0|47.0|0|0.0|100
0|2021-11-14|1671.0|0|1671.0|0|47.0|0|0.0|100
