|dates|Anderson_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Anderson_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Anderson_Tennessee_UnitedStates.Male_Total_Population.data|Anderson_Tennessee_UnitedStates.Male_Total_Population.missing|Anderson_Tennessee_UnitedStates.Female_Total_Population.data|Anderson_Tennessee_UnitedStates.Female_Total_Population.missing|Anderson_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Anderson_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-18|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-19|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-20|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-21|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-22|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-23|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-24|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-25|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-26|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-27|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-28|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-29|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-30|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-10-31|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-01|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-02|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-03|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-04|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-05|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-06|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-07|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-08|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-09|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-10|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-11|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-12|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-13|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-14|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-15|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-16|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-17|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-18|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-19|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-20|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-21|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-22|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-23|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-24|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-25|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-26|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-27|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-28|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-29|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-11-30|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-12-01|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-12-02|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-12-03|15356.0|0|37216.0|0|39266.0|0|16078.0|0
0|2021-12-04|15356.0|0|37216.0|0|39266.0|0|16078.0|0
