|dates|Outagamie_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Outagamie_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Outagamie_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Outagamie_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Outagamie_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Outagamie_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Outagamie_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Outagamie_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-18|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-19|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-20|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-21|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-22|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-23|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-24|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-25|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-26|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-27|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-28|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-29|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-30|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-10-31|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-01|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-02|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-03|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-04|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-05|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-06|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-07|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-08|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-09|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-10|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-11|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-12|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
0|2021-11-13|100959.0|0|3314.0|0|3.1781956978316535|0|104273.0|0
