|dates|Hamilton_Florida_UnitedStates.JHU_ConfirmedCases.data|Hamilton_Florida_UnitedStates.JHU_ConfirmedCases.missing|Hamilton_Florida_UnitedStates.NYT_ConfirmedCases.data|Hamilton_Florida_UnitedStates.NYT_ConfirmedCases.missing|Hamilton_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Hamilton_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Hamilton_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Hamilton_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2728.0|0|2708.0|0|25.0|0|0.0|100
0|2021-10-18|2728.0|0|2708.0|0|25.0|0|0.0|100
0|2021-10-19|2728.0|0|2708.0|0|25.0|0|0.0|100
0|2021-10-20|2728.0|0|2708.0|0|25.0|0|0.0|100
0|2021-10-21|2728.0|0|2708.0|0|25.0|0|0.0|100
0|2021-10-22|2746.0|0|2726.0|0|25.0|0|0.0|100
0|2021-10-23|2746.0|0|2726.0|0|25.0|0|0.0|100
0|2021-10-24|2746.0|0|2726.0|0|25.0|0|0.0|100
0|2021-10-25|2746.0|0|2726.0|0|25.0|0|0.0|100
0|2021-10-26|2746.0|0|2726.0|0|25.0|0|0.0|100
0|2021-10-27|2746.0|0|2726.0|0|25.0|0|0.0|100
0|2021-10-28|2746.0|0|2726.0|0|25.0|0|0.0|100
0|2021-10-29|2759.0|0|2739.0|0|25.0|0|0.0|100
0|2021-10-30|2759.0|0|2739.0|0|25.0|0|0.0|100
0|2021-10-31|2759.0|0|2739.0|0|25.0|0|0.0|100
0|2021-11-01|2759.0|0|2739.0|0|25.0|0|0.0|100
0|2021-11-02|2759.0|0|2739.0|0|25.0|0|0.0|100
0|2021-11-03|2759.0|0|2739.0|0|25.0|0|0.0|100
0|2021-11-04|2759.0|0|2739.0|0|25.0|0|0.0|100
0|2021-11-05|2765.0|0|2745.0|0|25.0|0|0.0|100
0|2021-11-06|2765.0|0|2745.0|0|25.0|0|0.0|100
0|2021-11-07|2765.0|0|2745.0|0|25.0|0|0.0|100
0|2021-11-08|2765.0|0|2745.0|0|25.0|0|0.0|100
0|2021-11-09|2765.0|0|2745.0|0|25.0|0|0.0|100
0|2021-11-10|2765.0|0|2745.0|0|25.0|0|0.0|100
0|2021-11-11|2765.0|0|2745.0|0|25.0|0|0.0|100
