|dates|Butler_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Butler_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Butler_Kentucky_UnitedStates.Male_Total_Population.data|Butler_Kentucky_UnitedStates.Male_Total_Population.missing|Butler_Kentucky_UnitedStates.Female_Total_Population.data|Butler_Kentucky_UnitedStates.Female_Total_Population.missing|Butler_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Butler_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-18|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-19|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-20|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-21|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-22|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-23|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-24|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-25|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-26|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-27|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-28|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-29|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-30|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-10-31|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-01|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-02|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-03|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-04|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-05|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-06|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-07|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-08|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-09|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-10|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-11|2400.0|0|6413.0|0|6359.0|0|2876.0|0
0|2021-11-12|2400.0|0|6413.0|0|6359.0|0|2876.0|0
