|dates|Hertford_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Hertford_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Hertford_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Hertford_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Hertford_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Hertford_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Hertford_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Hertford_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2787.0|0|2787.0|0|70.0|0|0.0|100
0|2021-10-18|2810.0|0|2810.0|0|70.0|0|0.0|100
0|2021-10-19|2812.0|0|2812.0|0|70.0|0|0.0|100
0|2021-10-20|2815.0|0|2815.0|0|70.0|0|0.0|100
0|2021-10-21|2823.0|0|2823.0|0|70.0|0|0.0|100
0|2021-10-22|2827.0|0|2827.0|0|71.0|0|0.0|100
0|2021-10-23|2827.0|0|2827.0|0|71.0|0|0.0|100
0|2021-10-24|2827.0|0|2827.0|0|71.0|0|0.0|100
0|2021-10-25|2839.0|0|2839.0|0|71.0|0|0.0|100
0|2021-10-26|2842.0|0|2842.0|0|71.0|0|0.0|100
0|2021-10-27|2844.0|0|2844.0|0|71.0|0|0.0|100
0|2021-10-28|2852.0|0|2852.0|0|71.0|0|0.0|100
0|2021-10-29|2856.0|0|2856.0|0|71.0|0|0.0|100
0|2021-10-30|2856.0|0|2856.0|0|71.0|0|0.0|100
0|2021-10-31|2856.0|0|2856.0|0|71.0|0|0.0|100
0|2021-11-01|2857.0|0|2857.0|0|71.0|0|0.0|100
0|2021-11-02|2857.0|0|2857.0|0|72.0|0|0.0|100
0|2021-11-03|2860.0|0|2860.0|0|72.0|0|0.0|100
0|2021-11-04|2862.0|0|2862.0|0|72.0|0|0.0|100
0|2021-11-05|2865.0|0|2865.0|0|72.0|0|0.0|100
0|2021-11-06|2865.0|0|2865.0|0|72.0|0|0.0|100
0|2021-11-07|2865.0|0|2865.0|0|72.0|0|0.0|100
0|2021-11-08|2870.0|0|2870.0|0|72.0|0|0.0|100
0|2021-11-09|2871.0|0|2871.0|0|72.0|0|0.0|100
0|2021-11-10|2871.0|0|2873.0|0|72.0|0|0.0|100
0|2021-11-11|2873.0|0|2873.0|0|72.0|0|0.0|100
0|2021-11-12|2875.0|0|2875.0|0|72.0|0|0.0|100
0|2021-11-13|2875.0|0|2875.0|0|72.0|0|0.0|100
0|2021-11-14|2875.0|0|2875.0|0|72.0|0|0.0|100
0|2021-11-15|2878.0|0|2878.0|0|72.0|0|0.0|100
0|2021-11-16|2881.0|0|2881.0|0|72.0|0|0.0|100
0|2021-11-17|2882.0|0|2882.0|0|72.0|0|0.0|100
0|2021-11-18|2883.0|0|2883.0|0|72.0|0|0.0|100
0|2021-11-19|2885.0|0|2885.0|0|72.0|0|0.0|100
0|2021-11-20|2885.0|0|2885.0|0|72.0|0|0.0|100
0|2021-11-21|2885.0|0|2885.0|0|72.0|0|0.0|100
0|2021-11-22|2889.0|0|2889.0|0|72.0|0|0.0|100
0|2021-11-23|2889.0|0|2889.0|0|72.0|0|0.0|100
0|2021-11-24|2892.0|0|2892.0|0|72.0|0|0.0|100
0|2021-11-25|2892.0|0|2892.0|0|72.0|0|0.0|100
0|2021-11-26|2892.0|0|2892.0|0|72.0|0|0.0|100
0|2021-11-27|2892.0|0|2892.0|0|72.0|0|0.0|100
0|2021-11-28|2892.0|0|2892.0|0|72.0|0|0.0|100
0|2021-11-29|2900.0|0|2900.0|0|72.0|0|0.0|100
0|2021-11-30|2901.0|0|2901.0|0|72.0|0|0.0|100
0|2021-12-01|2901.0|0|2901.0|0|72.0|0|0.0|100
0|2021-12-02|2902.0|0|2902.0|0|72.0|0|0.0|100
0|2021-12-03|2902.0|0|2903.0|0|72.0|0|0.0|100
