|dates|Cumberland_Illinois_UnitedStates.JHU_ConfirmedCases.data|Cumberland_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_Illinois_UnitedStates.NYT_ConfirmedCases.data|Cumberland_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Cumberland_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1885.0|0|1885.0|0|26.0|0|0.0|100
0|2021-10-18|1895.0|0|1895.0|0|26.0|0|0.0|100
0|2021-10-19|1896.0|0|1896.0|0|26.0|0|0.0|100
0|2021-10-20|1900.0|0|1900.0|0|26.0|0|0.0|100
0|2021-10-21|1902.0|0|1902.0|0|26.0|0|0.0|100
0|2021-10-22|1901.0|0|1901.0|0|26.0|0|0.0|100
0|2021-10-23|1901.0|0|1901.0|0|26.0|0|0.0|100
0|2021-10-24|1901.0|0|1901.0|0|26.0|0|0.0|100
0|2021-10-25|1905.0|0|1905.0|0|26.0|0|0.0|100
0|2021-10-26|1907.0|0|1907.0|0|26.0|0|0.0|100
0|2021-10-27|1911.0|0|1911.0|0|26.0|0|0.0|100
0|2021-10-28|1916.0|0|1916.0|0|27.0|0|0.0|100
0|2021-10-29|1919.0|0|1919.0|0|27.0|0|0.0|100
0|2021-10-30|1919.0|0|1919.0|0|27.0|0|0.0|100
0|2021-10-31|1919.0|0|1919.0|0|27.0|0|0.0|100
0|2021-11-01|1928.0|0|1928.0|0|27.0|0|0.0|100
0|2021-11-02|1933.0|0|1933.0|0|27.0|0|0.0|100
0|2021-11-03|1936.0|0|1936.0|0|27.0|0|0.0|100
0|2021-11-04|1938.0|0|1938.0|0|27.0|0|0.0|100
0|2021-11-05|1946.0|0|1946.0|0|27.0|0|0.0|100
0|2021-11-06|1946.0|0|1946.0|0|27.0|0|0.0|100
0|2021-11-07|1946.0|0|1946.0|0|27.0|0|0.0|100
0|2021-11-08|1955.0|0|1955.0|0|27.0|0|0.0|100
0|2021-11-09|1956.0|0|1956.0|0|27.0|0|0.0|100
0|2021-11-10|1956.0|0|1958.0|0|27.0|0|0.0|100
0|2021-11-11|1958.0|0|1958.0|0|27.0|0|0.0|100
0|2021-11-12|1962.0|0|1962.0|0|27.0|0|0.0|100
0|2021-11-13|1962.0|0|1962.0|0|27.0|0|0.0|100
0|2021-11-14|1962.0|0|1962.0|0|27.0|0|0.0|100
0|2021-11-15|1972.0|0|1972.0|0|27.0|0|0.0|100
0|2021-11-16|1980.0|0|1980.0|0|27.0|0|0.0|100
0|2021-11-17|1986.0|0|1986.0|0|27.0|0|0.0|100
0|2021-11-18|1993.0|0|1993.0|0|27.0|0|0.0|100
0|2021-11-19|2000.0|0|2000.0|0|27.0|0|0.0|100
0|2021-11-20|2000.0|0|2000.0|0|27.0|0|0.0|100
0|2021-11-21|2000.0|0|2000.0|0|27.0|0|0.0|100
0|2021-11-22|2020.0|0|2020.0|0|27.0|0|0.0|100
0|2021-11-23|2032.0|0|2032.0|0|27.0|0|0.0|100
0|2021-11-24|2044.0|0|2044.0|0|27.0|0|0.0|100
0|2021-11-25|2044.0|0|2044.0|0|27.0|0|0.0|100
0|2021-11-26|2044.0|0|2044.0|0|27.0|0|0.0|100
0|2021-11-27|2044.0|0|2044.0|0|27.0|0|0.0|100
0|2021-11-28|2044.0|0|2044.0|0|27.0|0|0.0|100
0|2021-11-29|2061.0|0|2061.0|0|27.0|0|0.0|100
0|2021-11-30|2074.0|0|2074.0|0|27.0|0|0.0|100
0|2021-12-01|2079.0|0|2079.0|0|27.0|0|0.0|100
0|2021-12-02|2079.0|0|2089.0|0|27.0|0|0.0|100
0|2021-12-03|2100.0|0|2100.0|0|27.0|0|0.0|100
0|2021-12-04|2100.0|0|2100.0|0|27.0|0|0.0|100
0|2021-12-05|2100.0|0|2100.0|0|27.0|0|0.0|100
0|2021-12-06|2119.0|0|2119.0|0|27.0|0|0.0|100
0|2021-12-07|2136.0|0|2136.0|0|27.0|0|0.0|100
0|2021-12-08|2145.0|0|2145.0|0|27.0|0|0.0|100
0|2021-12-09|2160.0|0|2160.0|0|27.0|0|0.0|100
0|2021-12-10|2175.0|0|2175.0|0|28.0|0|0.0|100
0|2021-12-11|2175.0|0|2175.0|0|28.0|0|0.0|100
0|2021-12-12|2175.0|0|2175.0|0|28.0|0|0.0|100
0|2021-12-13|2195.0|0|2195.0|0|29.0|0|0.0|100
0|2021-12-14|2195.0|0|2207.0|0|29.0|0|0.0|100
0|2021-12-15|2215.0|0|2215.0|0|29.0|0|0.0|100
0|2021-12-16|2230.0|0|2230.0|0|29.0|0|0.0|100
0|2021-12-17|2240.0|0|2240.0|0|29.0|0|0.0|100
0|2021-12-18|2240.0|0|2240.0|0|29.0|0|0.0|100
0|2021-12-19|2240.0|0|2240.0|0|29.0|0|0.0|100
0|2021-12-20|2254.0|0|2254.0|0|29.0|0|0.0|100
0|2021-12-21|2263.0|0|2263.0|0|29.0|0|0.0|100
0|2021-12-22|2274.0|0|2274.0|0|29.0|0|0.0|100
0|2021-12-23|2286.0|0|2286.0|0|29.0|0|0.0|100
0|2021-12-24|2286.0|0|2286.0|0|29.0|0|0.0|100
0|2021-12-25|2286.0|0|2286.0|0|29.0|0|0.0|100
0|2021-12-26|2286.0|0|2286.0|0|29.0|0|0.0|100
0|2021-12-27|2307.0|0|2307.0|0|29.0|0|0.0|100
0|2021-12-28|2316.0|0|2316.0|0|29.0|0|0.0|100
0|2021-12-29|2326.0|0|2326.0|0|29.0|0|0.0|100
0|2021-12-30|2349.0|0|2349.0|0|30.0|0|0.0|100
0|2021-12-31|2349.0|0|2349.0|0|30.0|0|0.0|100
0|2022-01-01|2349.0|0|2349.0|0|30.0|0|0.0|100
0|2022-01-02|2349.0|0|2349.0|0|30.0|0|0.0|100
0|2022-01-03|2378.0|0|2378.0|0|30.0|0|0.0|100
0|2022-01-04|2394.0|0|2394.0|0|30.0|0|0.0|100
0|2022-01-05|2418.0|0|2418.0|0|30.0|0|0.0|100
0|2022-01-06|2447.0|0|2447.0|0|31.0|0|0.0|100
0|2022-01-07|2488.0|0|2488.0|0|31.0|0|0.0|100
0|2022-01-08|2488.0|0|2488.0|0|31.0|0|0.0|100
0|2022-01-09|2488.0|0|2488.0|0|31.0|0|0.0|100
0|2022-01-10|2539.0|0|2539.0|0|31.0|0|0.0|100
0|2022-01-11|2571.0|0|2571.0|0|31.0|0|0.0|100
0|2022-01-12|2610.0|0|2610.0|0|31.0|0|0.0|100
0|2022-01-13|2610.0|0|2651.0|0|31.0|0|0.0|100
0|2022-01-14|2705.0|0|2705.0|0|32.0|0|0.0|100
0|2022-01-15|2705.0|0|2705.0|0|32.0|0|0.0|100
0|2022-01-16|2705.0|0|2705.0|0|32.0|0|0.0|100
0|2022-01-17|2705.0|0|0.0|100|32.0|0|0.0|100
