|dates|Polk_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Polk_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Polk_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Polk_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Polk_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3150.0|0|3150.0|0|29.0|0|0.0|100
0|2021-10-18|3164.0|0|3164.0|0|29.0|0|0.0|100
0|2021-10-19|3164.0|0|3164.0|0|29.0|0|0.0|100
0|2021-10-20|3169.0|0|3169.0|0|29.0|0|0.0|100
0|2021-10-21|3171.0|0|3171.0|0|29.0|0|0.0|100
0|2021-10-22|3178.0|0|3178.0|0|29.0|0|0.0|100
0|2021-10-23|3178.0|0|3178.0|0|29.0|0|0.0|100
0|2021-10-24|3178.0|0|3178.0|0|29.0|0|0.0|100
0|2021-10-25|3178.0|0|3178.0|0|29.0|0|0.0|100
0|2021-10-26|3186.0|0|3186.0|0|30.0|0|0.0|100
0|2021-10-27|3185.0|0|3185.0|0|31.0|0|0.0|100
0|2021-10-28|3187.0|0|3187.0|0|31.0|0|0.0|100
0|2021-10-29|3187.0|0|3187.0|0|31.0|0|0.0|100
0|2021-10-30|3187.0|0|3187.0|0|31.0|0|0.0|100
0|2021-10-31|3187.0|0|3187.0|0|31.0|0|0.0|100
0|2021-11-01|3187.0|0|3187.0|0|31.0|0|0.0|100
0|2021-11-02|3194.0|0|3194.0|0|31.0|0|0.0|100
0|2021-11-03|3196.0|0|3196.0|0|31.0|0|0.0|100
0|2021-11-04|3198.0|0|3198.0|0|31.0|0|0.0|100
0|2021-11-05|3202.0|0|3202.0|0|31.0|0|0.0|100
0|2021-11-06|3202.0|0|3202.0|0|31.0|0|0.0|100
0|2021-11-07|3202.0|0|3202.0|0|31.0|0|0.0|100
0|2021-11-08|3202.0|0|3202.0|0|31.0|0|0.0|100
0|2021-11-09|3208.0|0|3208.0|0|31.0|0|0.0|100
0|2021-11-10|3208.0|0|3208.0|0|31.0|0|0.0|100
0|2021-11-11|3208.0|0|3208.0|0|31.0|0|0.0|100
0|2021-11-12|3213.0|0|3213.0|0|31.0|0|0.0|100
0|2021-11-13|3213.0|0|3213.0|0|31.0|0|0.0|100
0|2021-11-14|3213.0|0|3213.0|0|31.0|0|0.0|100
0|2021-11-15|3217.0|0|3217.0|0|31.0|0|0.0|100
