|dates|Forest_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Forest_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Forest_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Forest_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Forest_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Forest_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Forest_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Forest_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1571.0|0|1571.0|0|24.0|0|0.0|100
0|2021-10-18|1573.0|0|1573.0|0|24.0|0|0.0|100
0|2021-10-19|1573.0|0|1573.0|0|24.0|0|0.0|100
0|2021-10-20|1574.0|0|1574.0|0|24.0|0|0.0|100
0|2021-10-21|1576.0|0|1576.0|0|24.0|0|0.0|100
0|2021-10-22|1577.0|0|1577.0|0|24.0|0|0.0|100
0|2021-10-23|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-24|1581.0|0|1581.0|0|24.0|0|0.0|100
0|2021-10-25|1581.0|0|1581.0|0|24.0|0|0.0|100
0|2021-10-26|1583.0|0|1583.0|0|24.0|0|0.0|100
0|2021-10-27|1586.0|0|1586.0|0|24.0|0|0.0|100
0|2021-10-28|1592.0|0|1592.0|0|24.0|0|0.0|100
0|2021-10-29|1595.0|0|1595.0|0|24.0|0|0.0|100
0|2021-10-30|1598.0|0|1598.0|0|24.0|0|0.0|100
0|2021-10-31|1603.0|0|1603.0|0|24.0|0|0.0|100
0|2021-11-01|1603.0|0|1603.0|0|24.0|0|0.0|100
0|2021-11-02|1612.0|0|1612.0|0|24.0|0|0.0|100
0|2021-11-03|1613.0|0|1613.0|0|24.0|0|0.0|100
0|2021-11-04|1618.0|0|1618.0|0|24.0|0|0.0|100
0|2021-11-05|1622.0|0|1622.0|0|24.0|0|0.0|100
0|2021-11-06|1627.0|0|1627.0|0|25.0|0|0.0|100
0|2021-11-07|1629.0|0|1629.0|0|25.0|0|0.0|100
0|2021-11-08|1629.0|0|1629.0|0|25.0|0|0.0|100
0|2021-11-09|1633.0|0|1633.0|0|25.0|0|0.0|100
0|2021-11-10|1638.0|0|1638.0|0|25.0|0|0.0|100
0|2021-11-11|1639.0|0|1639.0|0|25.0|0|0.0|100
0|2021-11-12|1644.0|0|1644.0|0|25.0|0|0.0|100
0|2021-11-13|1652.0|0|1652.0|0|25.0|0|0.0|100
0|2021-11-14|1657.0|0|1657.0|0|25.0|0|0.0|100
0|2021-11-15|1657.0|0|1657.0|0|25.0|0|0.0|100
0|2021-11-16|1663.0|0|1663.0|0|26.0|0|0.0|100
0|2021-11-17|1666.0|0|1666.0|0|26.0|0|0.0|100
0|2021-11-18|1671.0|0|1671.0|0|26.0|0|0.0|100
0|2021-11-19|1706.0|0|1706.0|0|27.0|0|0.0|100
0|2021-11-20|1709.0|0|1709.0|0|28.0|0|0.0|100
0|2021-11-21|1719.0|0|1719.0|0|28.0|0|0.0|100
0|2021-11-22|1721.0|0|1721.0|0|28.0|0|0.0|100
0|2021-11-23|1724.0|0|1724.0|0|28.0|0|0.0|100
0|2021-11-24|1729.0|0|1729.0|0|28.0|0|0.0|100
0|2021-11-25|1737.0|0|1737.0|0|28.0|0|0.0|100
0|2021-11-26|1740.0|0|1740.0|0|28.0|0|0.0|100
0|2021-11-27|1740.0|0|1742.0|0|28.0|0|0.0|100
0|2021-11-28|1744.0|0|1744.0|0|28.0|0|0.0|100
0|2021-11-29|1745.0|0|1745.0|0|28.0|0|0.0|100
0|2021-11-30|1746.0|0|1746.0|0|29.0|0|0.0|100
0|2021-12-01|1755.0|0|1755.0|0|29.0|0|0.0|100
0|2021-12-02|1759.0|0|1759.0|0|29.0|0|0.0|100
0|2021-12-03|1763.0|0|1763.0|0|29.0|0|0.0|100
0|2021-12-04|1769.0|0|1769.0|0|29.0|0|0.0|100
0|2021-12-05|1772.0|0|1772.0|0|29.0|0|0.0|100
0|2021-12-06|1779.0|0|1779.0|0|29.0|0|0.0|100
0|2021-12-07|1780.0|0|1780.0|0|29.0|0|0.0|100
0|2021-12-08|1786.0|0|1786.0|0|29.0|0|0.0|100
0|2021-12-09|1790.0|0|1790.0|0|29.0|0|0.0|100
0|2021-12-10|1797.0|0|1797.0|0|29.0|0|0.0|100
0|2021-12-11|1803.0|0|1803.0|0|30.0|0|0.0|100
0|2021-12-12|1805.0|0|1805.0|0|30.0|0|0.0|100
0|2021-12-13|1810.0|0|1810.0|0|30.0|0|0.0|100
0|2021-12-14|1810.0|0|1814.0|0|30.0|0|0.0|100
0|2021-12-15|1818.0|0|1818.0|0|31.0|0|0.0|100
0|2021-12-16|1823.0|0|1823.0|0|31.0|0|0.0|100
0|2021-12-17|1828.0|0|1828.0|0|31.0|0|0.0|100
0|2021-12-18|1832.0|0|1832.0|0|31.0|0|0.0|100
0|2021-12-19|1833.0|0|1833.0|0|31.0|0|0.0|100
0|2021-12-20|1843.0|0|1843.0|0|31.0|0|0.0|100
0|2021-12-21|1843.0|0|1843.0|0|31.0|0|0.0|100
0|2021-12-22|1844.0|0|1844.0|0|31.0|0|0.0|100
0|2021-12-23|1846.0|0|1846.0|0|31.0|0|0.0|100
0|2021-12-24|1846.0|0|1846.0|0|31.0|0|0.0|100
0|2021-12-25|1846.0|0|1846.0|0|31.0|0|0.0|100
0|2021-12-26|1846.0|0|1846.0|0|31.0|0|0.0|100
0|2021-12-27|1846.0|0|1846.0|0|31.0|0|0.0|100
0|2021-12-28|1846.0|0|1846.0|0|31.0|0|0.0|100
0|2021-12-29|1848.0|0|1848.0|0|31.0|0|0.0|100
0|2021-12-30|1850.0|0|1850.0|0|31.0|0|0.0|100
0|2021-12-31|1854.0|0|1854.0|0|31.0|0|0.0|100
0|2022-01-01|1857.0|0|1857.0|0|31.0|0|0.0|100
0|2022-01-02|1862.0|0|1862.0|0|31.0|0|0.0|100
0|2022-01-03|1864.0|0|1864.0|0|31.0|0|0.0|100
0|2022-01-04|1865.0|0|1865.0|0|31.0|0|0.0|100
0|2022-01-05|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2022-01-06|1878.0|0|1878.0|0|31.0|0|0.0|100
0|2022-01-07|1884.0|0|1884.0|0|31.0|0|0.0|100
0|2022-01-08|1892.0|0|1892.0|0|33.0|0|0.0|100
0|2022-01-09|1902.0|0|1902.0|0|33.0|0|0.0|100
0|2022-01-10|1907.0|0|1907.0|0|33.0|0|0.0|100
0|2022-01-11|1919.0|0|1919.0|0|33.0|0|0.0|100
0|2022-01-12|1927.0|0|1927.0|0|33.0|0|0.0|100
0|2022-01-13|1927.0|0|1930.0|0|33.0|0|0.0|100
0|2022-01-14|1946.0|0|1946.0|0|33.0|0|0.0|100
0|2022-01-15|1967.0|0|1967.0|0|33.0|0|0.0|100
0|2022-01-16|1979.0|0|1979.0|0|33.0|0|0.0|100
0|2022-01-17|1987.0|0|0.0|100|33.0|0|0.0|100
