|dates|Benson_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Benson_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Benson_NorthDakota_UnitedStates.Male_Total_Population.data|Benson_NorthDakota_UnitedStates.Male_Total_Population.missing|Benson_NorthDakota_UnitedStates.Female_Total_Population.data|Benson_NorthDakota_UnitedStates.Female_Total_Population.missing|Benson_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Benson_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-18|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-19|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-20|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-21|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-22|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-23|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-24|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-25|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-26|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-27|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-28|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-29|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-30|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-10-31|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-01|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-02|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-03|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-04|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-05|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-06|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-07|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-08|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-09|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-10|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-11|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-12|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-13|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-14|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-15|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-16|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-17|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-18|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-19|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-20|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-21|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-22|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-23|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-24|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-25|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-26|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-27|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-28|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-29|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-11-30|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-01|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-02|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-03|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-04|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-05|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-06|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-07|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-08|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-09|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-10|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-11|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-12|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-13|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-14|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-15|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-16|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-17|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-18|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-19|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-20|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-21|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-22|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-23|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-24|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-25|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-26|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-27|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-28|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-29|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-30|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2021-12-31|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-01|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-02|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-03|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-04|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-05|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-06|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-07|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-08|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-09|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-10|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-11|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-12|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-13|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-14|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-15|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-16|968.0|0|3555.0|0|3407.0|0|2462.0|0
0|2022-01-17|968.0|0|3555.0|0|3407.0|0|2462.0|0
