|dates|DeBaca_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|DeBaca_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|DeBaca_NewMexico_UnitedStates.Male_Total_Population.data|DeBaca_NewMexico_UnitedStates.Male_Total_Population.missing|DeBaca_NewMexico_UnitedStates.Female_Total_Population.data|DeBaca_NewMexico_UnitedStates.Female_Total_Population.missing|DeBaca_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|DeBaca_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-18|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-19|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-20|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-21|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-22|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-23|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-24|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-25|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-26|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-27|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-28|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-29|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-30|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-10-31|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-01|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-02|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-03|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-04|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-05|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-06|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-07|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-08|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-09|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-10|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-11|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-12|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-13|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-14|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-15|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-16|497.0|0|882.0|0|899.0|0|399.0|0
0|2021-11-17|497.0|0|882.0|0|899.0|0|399.0|0
