|dates|Adair_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Adair_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Adair_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Adair_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Adair_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Adair_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Adair_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Adair_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3114.0|0|3358.0|0|70.0|0|0.0|100
0|2021-10-18|3146.0|0|3358.0|0|70.0|0|0.0|100
0|2021-10-19|3152.0|0|3366.0|0|70.0|0|0.0|100
0|2021-10-20|3159.0|0|3376.0|0|70.0|0|0.0|100
0|2021-10-21|3171.0|0|3381.0|0|70.0|0|0.0|100
0|2021-10-22|3187.0|0|3381.0|0|71.0|0|0.0|100
0|2021-10-23|3187.0|0|3388.0|0|71.0|0|0.0|100
0|2021-10-24|3187.0|0|3388.0|0|71.0|0|0.0|100
0|2021-10-25|3222.0|0|3392.0|0|72.0|0|0.0|100
0|2021-10-26|3251.0|0|3405.0|0|72.0|0|0.0|100
0|2021-10-27|3270.0|0|3405.0|0|72.0|0|0.0|100
0|2021-10-28|3311.0|0|3418.0|0|72.0|0|0.0|100
0|2021-10-29|3366.0|0|3418.0|0|73.0|0|0.0|100
0|2021-10-30|3366.0|0|3422.0|0|73.0|0|0.0|100
0|2021-10-31|3366.0|0|3422.0|0|73.0|0|0.0|100
0|2021-11-01|3373.0|0|3426.0|0|76.0|0|0.0|100
0|2021-11-02|3376.0|0|3426.0|0|76.0|0|0.0|100
0|2021-11-03|3382.0|0|3435.0|0|77.0|0|0.0|100
0|2021-11-04|3391.0|0|3452.0|0|77.0|0|0.0|100
0|2021-11-05|3405.0|0|3466.0|0|77.0|0|0.0|100
0|2021-11-06|3405.0|0|3466.0|0|77.0|0|0.0|100
0|2021-11-07|3405.0|0|3466.0|0|77.0|0|0.0|100
0|2021-11-08|3430.0|0|3466.0|0|79.0|0|0.0|100
0|2021-11-09|3437.0|0|3473.0|0|80.0|0|0.0|100
0|2021-11-10|3452.0|0|3485.0|0|80.0|0|0.0|100
0|2021-11-11|3452.0|0|3493.0|0|80.0|0|0.0|100
0|2021-11-12|3486.0|0|3493.0|0|80.0|0|0.0|100
0|2021-11-13|3486.0|0|3517.0|0|80.0|0|0.0|100
0|2021-11-14|3486.0|0|3517.0|0|80.0|0|0.0|100
0|2021-11-15|3508.0|0|3517.0|0|80.0|0|0.0|100
0|2021-11-16|3518.0|0|3521.0|0|80.0|0|0.0|100
0|2021-11-17|3539.0|0|3539.0|0|81.0|0|0.0|100
0|2021-11-18|3555.0|0|3574.0|0|81.0|0|0.0|100
0|2021-11-19|3570.0|0|3574.0|0|81.0|0|0.0|100
0|2021-11-20|3570.0|0|3583.0|0|81.0|0|0.0|100
0|2021-11-21|3570.0|0|3583.0|0|81.0|0|0.0|100
0|2021-11-22|3598.0|0|3598.0|0|81.0|0|0.0|100
0|2021-11-23|3606.0|0|3606.0|0|81.0|0|0.0|100
0|2021-11-24|3620.0|0|3620.0|0|81.0|0|0.0|100
0|2021-11-25|3620.0|0|3630.0|0|81.0|0|0.0|100
0|2021-11-26|3620.0|0|3630.0|0|81.0|0|0.0|100
0|2021-11-27|3620.0|0|3630.0|0|81.0|0|0.0|100
0|2021-11-28|3620.0|0|3630.0|0|81.0|0|0.0|100
0|2021-11-29|3651.0|0|3652.0|0|83.0|0|0.0|100
0|2021-11-30|3656.0|0|3656.0|0|83.0|0|0.0|100
0|2021-12-01|3681.0|0|3681.0|0|83.0|0|0.0|100
0|2021-12-02|3690.0|0|3690.0|0|83.0|0|0.0|100
0|2021-12-03|3702.0|0|3702.0|0|83.0|0|0.0|100
0|2021-12-04|3702.0|0|3711.0|0|83.0|0|0.0|100
0|2021-12-05|3702.0|0|3711.0|0|83.0|0|0.0|100
0|2021-12-06|3732.0|0|3732.0|0|84.0|0|0.0|100
0|2021-12-07|3733.0|0|3748.0|0|84.0|0|0.0|100
0|2021-12-08|3747.0|0|3748.0|0|84.0|0|0.0|100
0|2021-12-09|3769.0|0|3769.0|0|84.0|0|0.0|100
0|2021-12-10|3785.0|0|3788.0|0|85.0|0|0.0|100
0|2021-12-11|3785.0|0|3788.0|0|85.0|0|0.0|100
0|2021-12-12|3785.0|0|3788.0|0|85.0|0|0.0|100
0|2021-12-13|3803.0|0|3803.0|0|85.0|0|0.0|100
0|2021-12-14|3803.0|0|3818.0|0|85.0|0|0.0|100
0|2021-12-15|3831.0|0|3831.0|0|85.0|0|0.0|100
0|2021-12-16|3840.0|0|3840.0|0|85.0|0|0.0|100
0|2021-12-17|3864.0|0|3864.0|0|85.0|0|0.0|100
0|2021-12-18|3864.0|0|3864.0|0|85.0|0|0.0|100
0|2021-12-19|3864.0|0|3864.0|0|85.0|0|0.0|100
0|2021-12-20|3885.0|0|3885.0|0|86.0|0|0.0|100
0|2021-12-21|3890.0|0|3890.0|0|86.0|0|0.0|100
0|2021-12-22|3899.0|0|3899.0|0|86.0|0|0.0|100
0|2021-12-23|3899.0|0|3899.0|0|86.0|0|0.0|100
0|2021-12-24|3899.0|0|3899.0|0|86.0|0|0.0|100
0|2021-12-25|3899.0|0|3899.0|0|86.0|0|0.0|100
0|2021-12-26|3899.0|0|3899.0|0|86.0|0|0.0|100
0|2021-12-27|3952.0|0|3952.0|0|89.0|0|0.0|100
0|2021-12-28|3963.0|0|3963.0|0|89.0|0|0.0|100
0|2021-12-29|3973.0|0|3973.0|0|89.0|0|0.0|100
0|2021-12-30|3973.0|0|3973.0|0|89.0|0|0.0|100
