|dates|Henry_Ohio_UnitedStates.JHU_ConfirmedCases.data|Henry_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Henry_Ohio_UnitedStates.NYT_ConfirmedCases.data|Henry_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Henry_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3574.0|0|3574.0|0|73.0|0|0.0|100
0|2021-10-18|3578.0|0|3578.0|0|73.0|0|0.0|100
0|2021-10-19|3589.0|0|3589.0|0|73.0|0|0.0|100
0|2021-10-20|3604.0|0|3604.0|0|73.0|0|0.0|100
0|2021-10-21|3625.0|0|3625.0|0|73.0|0|0.0|100
0|2021-10-22|3640.0|0|3640.0|0|73.0|0|0.0|100
0|2021-10-23|3653.0|0|3653.0|0|73.0|0|0.0|100
0|2021-10-24|3662.0|0|3662.0|0|73.0|0|0.0|100
0|2021-10-25|3669.0|0|3669.0|0|73.0|0|0.0|100
0|2021-10-26|3683.0|0|3683.0|0|73.0|0|0.0|100
0|2021-10-27|3701.0|0|3701.0|0|73.0|0|0.0|100
0|2021-10-28|3720.0|0|3720.0|0|73.0|0|0.0|100
0|2021-10-29|3734.0|0|3734.0|0|73.0|0|0.0|100
0|2021-10-30|3746.0|0|3746.0|0|73.0|0|0.0|100
0|2021-10-31|3751.0|0|3751.0|0|73.0|0|0.0|100
0|2021-11-01|3764.0|0|3764.0|0|73.0|0|0.0|100
0|2021-11-02|3778.0|0|3778.0|0|73.0|0|0.0|100
0|2021-11-03|3794.0|0|3794.0|0|73.0|0|0.0|100
0|2021-11-04|3808.0|0|3808.0|0|73.0|0|0.0|100
0|2021-11-05|3832.0|0|3832.0|0|73.0|0|0.0|100
0|2021-11-06|3843.0|0|3843.0|0|73.0|0|0.0|100
0|2021-11-07|3854.0|0|3854.0|0|73.0|0|0.0|100
0|2021-11-08|3864.0|0|3864.0|0|73.0|0|0.0|100
0|2021-11-09|3918.0|0|3918.0|0|73.0|0|0.0|100
0|2021-11-10|3957.0|0|3957.0|0|73.0|0|0.0|100
0|2021-11-11|3973.0|0|3973.0|0|73.0|0|0.0|100
0|2021-11-12|3997.0|0|3997.0|0|73.0|0|0.0|100
0|2021-11-13|4010.0|0|4010.0|0|73.0|0|0.0|100
0|2021-11-14|4018.0|0|4018.0|0|73.0|0|0.0|100
0|2021-11-15|4033.0|0|4033.0|0|73.0|0|0.0|100
0|2021-11-16|4053.0|0|4053.0|0|73.0|0|0.0|100
0|2021-11-17|4078.0|0|4078.0|0|73.0|0|0.0|100
0|2021-11-18|4094.0|0|4094.0|0|73.0|0|0.0|100
0|2021-11-19|4112.0|0|4112.0|0|73.0|0|0.0|100
0|2021-11-20|4130.0|0|4130.0|0|73.0|0|0.0|100
0|2021-11-21|4133.0|0|4133.0|0|73.0|0|0.0|100
0|2021-11-22|4147.0|0|4147.0|0|73.0|0|0.0|100
0|2021-11-23|4178.0|0|4178.0|0|74.0|0|0.0|100
0|2021-11-24|4193.0|0|4193.0|0|74.0|0|0.0|100
0|2021-11-25|4193.0|0|4193.0|0|74.0|0|0.0|100
0|2021-11-26|4220.0|0|4220.0|0|76.0|0|0.0|100
0|2021-11-27|4227.0|0|4227.0|0|76.0|0|0.0|100
0|2021-11-28|4238.0|0|4238.0|0|76.0|0|0.0|100
0|2021-11-29|4249.0|0|4249.0|0|76.0|0|0.0|100
0|2021-11-30|4269.0|0|4269.0|0|78.0|0|0.0|100
0|2021-12-01|4295.0|0|4295.0|0|78.0|0|0.0|100
0|2021-12-02|4323.0|0|4323.0|0|78.0|0|0.0|100
0|2021-12-03|4342.0|0|4342.0|0|80.0|0|0.0|100
0|2021-12-04|4378.0|0|4378.0|0|80.0|0|0.0|100
0|2021-12-05|4392.0|0|4392.0|0|80.0|0|0.0|100
0|2021-12-06|4403.0|0|4403.0|0|80.0|0|0.0|100
0|2021-12-07|4421.0|0|4421.0|0|80.0|0|0.0|100
0|2021-12-08|4442.0|0|4442.0|0|80.0|0|0.0|100
0|2021-12-09|4482.0|0|4482.0|0|80.0|0|0.0|100
0|2021-12-10|4504.0|0|4504.0|0|81.0|0|0.0|100
0|2021-12-11|4520.0|0|4520.0|0|81.0|0|0.0|100
0|2021-12-12|4528.0|0|4528.0|0|81.0|0|0.0|100
0|2021-12-13|4530.0|0|4530.0|0|81.0|0|0.0|100
0|2021-12-14|4530.0|0|4550.0|0|81.0|0|0.0|100
0|2021-12-15|4570.0|0|4570.0|0|81.0|0|0.0|100
0|2021-12-16|4591.0|0|4591.0|0|81.0|0|0.0|100
0|2021-12-17|4606.0|0|4606.0|0|83.0|0|0.0|100
0|2021-12-18|4616.0|0|4616.0|0|83.0|0|0.0|100
0|2021-12-19|4624.0|0|4624.0|0|83.0|0|0.0|100
0|2021-12-20|4632.0|0|4632.0|0|83.0|0|0.0|100
0|2021-12-21|4656.0|0|4656.0|0|84.0|0|0.0|100
0|2021-12-22|4671.0|0|4671.0|0|84.0|0|0.0|100
0|2021-12-23|4685.0|0|4685.0|0|84.0|0|0.0|100
0|2021-12-24|4695.0|0|4695.0|0|85.0|0|0.0|100
0|2021-12-25|4695.0|0|4695.0|0|85.0|0|0.0|100
0|2021-12-26|4714.0|0|4714.0|0|85.0|0|0.0|100
0|2021-12-27|4720.0|0|4720.0|0|85.0|0|0.0|100
0|2021-12-28|4724.0|0|4724.0|0|85.0|0|0.0|100
0|2021-12-29|4760.0|0|4760.0|0|85.0|0|0.0|100
0|2021-12-30|4776.0|0|4776.0|0|85.0|0|0.0|100
0|2021-12-31|4810.0|0|4810.0|0|89.0|0|0.0|100
0|2022-01-01|4810.0|0|4810.0|0|89.0|0|0.0|100
0|2022-01-02|4855.0|0|4855.0|0|89.0|0|0.0|100
0|2022-01-03|4880.0|0|4880.0|0|89.0|0|0.0|100
0|2022-01-04|4922.0|0|4922.0|0|90.0|0|0.0|100
0|2022-01-05|4961.0|0|4961.0|0|90.0|0|0.0|100
0|2022-01-06|5015.0|0|5015.0|0|90.0|0|0.0|100
0|2022-01-07|5069.0|0|5069.0|0|90.0|0|0.0|100
0|2022-01-08|5109.0|0|5109.0|0|90.0|0|0.0|100
0|2022-01-09|5148.0|0|5148.0|0|90.0|0|0.0|100
0|2022-01-10|5184.0|0|5184.0|0|90.0|0|0.0|100
0|2022-01-11|5244.0|0|5244.0|0|90.0|0|0.0|100
0|2022-01-12|5312.0|0|5312.0|0|90.0|0|0.0|100
0|2022-01-13|5312.0|0|5361.0|0|90.0|0|0.0|100
0|2022-01-14|5482.0|0|5482.0|0|92.0|0|0.0|100
0|2022-01-15|5573.0|0|5573.0|0|92.0|0|0.0|100
0|2022-01-16|5611.0|0|5611.0|0|92.0|0|0.0|100
0|2022-01-17|5655.0|0|0.0|100|92.0|0|0.0|100
