|dates|Grant_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Grant_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Grant_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Grant_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Grant_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Grant_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|766.0|0|766.0|0|9.0|0|0.0|100
0|2021-10-18|768.0|0|768.0|0|9.0|0|0.0|100
0|2021-10-19|775.0|0|775.0|0|9.0|0|0.0|100
0|2021-10-20|779.0|0|779.0|0|9.0|0|0.0|100
0|2021-10-21|781.0|0|781.0|0|9.0|0|0.0|100
0|2021-10-22|786.0|0|786.0|0|9.0|0|0.0|100
0|2021-10-23|786.0|0|786.0|0|9.0|0|0.0|100
0|2021-10-24|786.0|0|786.0|0|9.0|0|0.0|100
0|2021-10-25|794.0|0|794.0|0|9.0|0|0.0|100
0|2021-10-26|812.0|0|812.0|0|9.0|0|0.0|100
0|2021-10-27|816.0|0|816.0|0|9.0|0|0.0|100
0|2021-10-28|825.0|0|825.0|0|9.0|0|0.0|100
0|2021-10-29|833.0|0|833.0|0|9.0|0|0.0|100
0|2021-10-30|833.0|0|833.0|0|9.0|0|0.0|100
0|2021-10-31|833.0|0|833.0|0|9.0|0|0.0|100
0|2021-11-01|841.0|0|841.0|0|9.0|0|0.0|100
0|2021-11-02|848.0|0|848.0|0|9.0|0|0.0|100
0|2021-11-03|853.0|0|853.0|0|9.0|0|0.0|100
0|2021-11-04|859.0|0|859.0|0|9.0|0|0.0|100
0|2021-11-05|865.0|0|865.0|0|9.0|0|0.0|100
0|2021-11-06|865.0|0|865.0|0|9.0|0|0.0|100
0|2021-11-07|865.0|0|865.0|0|9.0|0|0.0|100
0|2021-11-08|868.0|0|868.0|0|9.0|0|0.0|100
0|2021-11-09|880.0|0|880.0|0|9.0|0|0.0|100
0|2021-11-10|880.0|0|885.0|0|9.0|0|0.0|100
0|2021-11-11|888.0|0|888.0|0|9.0|0|0.0|100
0|2021-11-12|900.0|0|900.0|0|9.0|0|0.0|100
