|dates|DonaAna_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|DonaAna_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|DonaAna_NewMexico_UnitedStates.Male_Total_Population.data|DonaAna_NewMexico_UnitedStates.Male_Total_Population.missing|DonaAna_NewMexico_UnitedStates.Female_Total_Population.data|DonaAna_NewMexico_UnitedStates.Female_Total_Population.missing|DonaAna_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|DonaAna_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-18|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-19|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-20|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-21|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-22|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-23|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-24|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-25|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-26|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-27|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-28|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-29|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-30|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-10-31|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-01|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-02|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-03|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-04|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-05|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-06|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-07|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-08|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-09|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-10|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-11|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-12|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-13|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-14|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-15|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-16|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-17|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-18|34338.0|0|106762.0|0|110760.0|0|53231.0|0
0|2021-11-19|34338.0|0|106762.0|0|110760.0|0|53231.0|0
