|dates|Franklin_Illinois_UnitedStates.JHU_ConfirmedCases.data|Franklin_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Illinois_UnitedStates.NYT_ConfirmedCases.data|Franklin_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7276.0|0|7276.0|0|114.0|0|0.0|100
0|2021-10-18|7317.0|0|7317.0|0|115.0|0|0.0|100
0|2021-10-19|7319.0|0|7319.0|0|115.0|0|0.0|100
0|2021-10-20|7330.0|0|7330.0|0|115.0|0|0.0|100
0|2021-10-21|7335.0|0|7335.0|0|115.0|0|0.0|100
0|2021-10-22|7339.0|0|7339.0|0|115.0|0|0.0|100
0|2021-10-23|7339.0|0|7339.0|0|115.0|0|0.0|100
0|2021-10-24|7339.0|0|7339.0|0|115.0|0|0.0|100
0|2021-10-25|7361.0|0|7361.0|0|115.0|0|0.0|100
0|2021-10-26|7356.0|0|7356.0|0|115.0|0|0.0|100
0|2021-10-27|7350.0|0|7350.0|0|115.0|0|0.0|100
0|2021-10-28|7355.0|0|7355.0|0|116.0|0|0.0|100
0|2021-10-29|7358.0|0|7358.0|0|116.0|0|0.0|100
0|2021-10-30|7358.0|0|7358.0|0|116.0|0|0.0|100
0|2021-10-31|7358.0|0|7358.0|0|116.0|0|0.0|100
0|2021-11-01|7364.0|0|7364.0|0|116.0|0|0.0|100
0|2021-11-02|7373.0|0|7373.0|0|116.0|0|0.0|100
0|2021-11-03|7369.0|0|7369.0|0|116.0|0|0.0|100
0|2021-11-04|7380.0|0|7380.0|0|116.0|0|0.0|100
0|2021-11-05|7384.0|0|7384.0|0|116.0|0|0.0|100
0|2021-11-06|7384.0|0|7384.0|0|116.0|0|0.0|100
0|2021-11-07|7384.0|0|7384.0|0|116.0|0|0.0|100
0|2021-11-08|7407.0|0|7407.0|0|116.0|0|0.0|100
0|2021-11-09|7417.0|0|7417.0|0|116.0|0|0.0|100
0|2021-11-10|7417.0|0|7428.0|0|116.0|0|0.0|100
0|2021-11-11|7428.0|0|7428.0|0|116.0|0|0.0|100
0|2021-11-12|7457.0|0|7457.0|0|117.0|0|0.0|100
0|2021-11-13|7457.0|0|7457.0|0|117.0|0|0.0|100
0|2021-11-14|7457.0|0|7457.0|0|117.0|0|0.0|100
0|2021-11-15|7504.0|0|7504.0|0|117.0|0|0.0|100
0|2021-11-16|7513.0|0|7513.0|0|117.0|0|0.0|100
0|2021-11-17|7526.0|0|7526.0|0|118.0|0|0.0|100
0|2021-11-18|7536.0|0|7536.0|0|118.0|0|0.0|100
0|2021-11-19|7550.0|0|7550.0|0|118.0|0|0.0|100
0|2021-11-20|7550.0|0|7550.0|0|118.0|0|0.0|100
0|2021-11-21|7550.0|0|7550.0|0|118.0|0|0.0|100
0|2021-11-22|7587.0|0|7587.0|0|118.0|0|0.0|100
0|2021-11-23|7600.0|0|7600.0|0|118.0|0|0.0|100
0|2021-11-24|7607.0|0|7607.0|0|119.0|0|0.0|100
0|2021-11-25|7607.0|0|7607.0|0|119.0|0|0.0|100
0|2021-11-26|7607.0|0|7607.0|0|119.0|0|0.0|100
0|2021-11-27|7607.0|0|7607.0|0|119.0|0|0.0|100
