|dates|Buffalo_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Buffalo_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Buffalo_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Buffalo_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Buffalo_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Buffalo_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-23|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-24|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-25|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-26|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-27|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-28|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-29|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-30|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2021-12-31|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-01|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-02|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-03|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-04|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-05|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-06|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-07|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-08|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-09|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-10|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-11|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-12|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-13|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-14|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-15|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-16|680.0|0|34.0|0|4.761904761904762|0|714.0|0
0|2022-01-17|680.0|0|34.0|0|4.761904761904762|0|714.0|0
