|dates|Jackson_Missouri_UnitedStates.BLS_EmployedPopulation.data|Jackson_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Jackson_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Jackson_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Jackson_Missouri_UnitedStates.BLS_UnemploymentRate.data|Jackson_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Jackson_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Jackson_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-18|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-19|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-20|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-21|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-22|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-23|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-24|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-25|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-26|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-27|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-28|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-29|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-30|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-10-31|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-01|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-02|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-03|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-04|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-05|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-06|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-07|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-08|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
0|2021-11-09|349450.0|0|23149.0|0|6.212845445103181|0|372599.0|0
